name,pos,team,proj_pts,vorp,model_rank,adp,adp_rank,gap,direction,sleeper_id,exp_games,rookie_flag
Joe Burrow,QB,CIN,201.9,-35.3,261,56.0,55,206,model_low,6770,12.0,false
Jayden Daniels,QB,WAS,197.0,-40.2,273,72.9,73,200,model_low,11566,12.0,false
Kyler Murray,QB,MIN,180.7,-56.5,287,134.2,132,155,model_low,5849,12.0,false
Tyler Shough,QB,NOS,184.5,-52.7,285,135.3,134,151,model_low,12545,12.0,false
Emari Demercado,RB,KCC,71.4,-53.0,286,143.4,145,141,model_low,11199,12.0,false
Brock Purdy,QB,SFO,211.8,-25.4,229,89.0,91,138,model_low,8183,12.3,false
Isaiah Likely,TE,NYG,90.4,-39.1,271,137.0,137,134,model_low,8131,12.0,false
Matthew Golden,WR,GBP,89.1,-29.0,242,111.0,111,131,model_low,12501,13.0,false
Jordan Mason,RB,MIN,92.4,-32.1,254,122.6,123,131,model_low,8408,12.0,false
Theo Wease Jr.,WR,MIA,79.4,-38.6,269,137.8,139,130,model_low,12860,12.0,false
Ty Johnson,RB,BUF,81.1,-43.3,278,148.4,151,127,model_low,6039,12.7,false
Keon Coleman,WR,BUF,94.0,-24.0,223,94.2,97,126,model_low,11637,12.0,false
Sam Darnold,QB,SEA,200.6,-36.5,265,142.0,140,125,model_low,4943,13.7,false
Jalen McMillan,WR,TBB,83.5,-34.6,259,135.8,135,124,model_low,11618,12.0,false
Bhayshul Tuten,RB,JAC,114.0,-10.4,175,54.3,54,121,model_low,12490,14.0,false
Kaden Wetjen,WR,,119.7,1.7,140,172.6,209,69,model_high,13491,16.0,true
Zach Charbonnet,RB,SEA,153.9,29.4,70,137.0,136,66,model_high,9753,15.3,false
Bo Nix,QB,DEN,268.1,30.9,62,115.1,116,54,model_high,11563,16.0,false
Kenny Gainwell,RB,TBB,176.5,52.1,39,89.5,92,53,model_high,7567,15.3,false
Omar Cooper Jr.,WR,NYJ,120.9,2.9,137,165.6,187,50,model_high,13276,16.0,true
Tyrone Tracy Jr.,RB,NYG,137.1,12.6,105,149.3,153,48,model_high,11655,15.0,false
Wan'Dale Robinson,WR,TEN,167.1,49.1,41,85.6,87,46,model_high,8126,15.0,false
RJ Harvey,RB,DEN,171.1,46.6,45,83.6,86,41,model_high,12489,16.0,false
Jordyn Tyson,WR,NOS,151.2,33.2,59,100.0,100,41,model_high,13281,16.0,true
Caleb Williams,QB,CHI,279.8,42.7,50,88.1,89,39,model_high,11560,16.0,false
Makai Lemon,WR,PHI,142.9,24.9,77,113.6,114,37,model_high,13294,16.0,true
Dalton Schultz,TE,HOU,135.5,5.9,130,158.6,167,37,model_high,5001,15.3,false
Jadarian Price,RB,SEA,166.1,41.7,51,82.9,85,34,model_high,13286,16.0,true
Tyler Allgeier,RB,ARI,124.5,0.0,144,160.5,178,34,model_high,8132,16.0,false
Travis Kelce,TE,KCC,153.2,23.6,78,108.3,110,32,model_high,1466,15.0,false
Ricky Pearsall,WR,SF,111.6,-6.5,162,,,,no_market,11638,12.0,false
Sterling Shepard,WR,TB,76.8,-41.3,275,,,,no_market,3200,12.0,false
Isaiah Williams,WR,NYJ,75.6,-42.4,276,,,,no_market,11608,12.0,false
Davis Allen,TE,LA,50.3,-79.2,292,,,,no_market,10214,12.0,false
