name,team,rush_att,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,fpts_page,snapshot,kind,url
Christian McCaffrey,SF,272.4,1289.3,11.6,69.9,567.3,4.8,1.7,280.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Breece Hall,NYJ,249.5,1129.4,8.1,66.8,530.2,3.8,1.4,234.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Bijan Robinson,ATL,243.8,1120.9,7.4,65.8,549.8,4.3,2.2,232.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Jonathan Taylor,IND,283.6,1270.7,10.1,37.3,279.2,1.6,1.4,222.4,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Saquon Barkley,PHI,268.8,1127.6,9.3,48.0,347.5,3.0,1.7,217.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Derrick Henry,BAL,269.1,1203.1,11.2,24.9,199.2,0.9,1.0,210.9,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Kyren Williams,LAR,245.4,1115.5,10.0,34.4,251.2,1.9,1.7,204.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Jahmyr Gibbs,DET,202.5,941.9,8.4,54.6,388.8,2.2,1.4,193.9,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Josh Jacobs,GB,258.2,1065.4,8.7,39.9,303.4,1.2,1.1,193.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Travis Etienne Jr.,JAC,250.1,1025.4,8.2,46.1,358.1,1.2,1.3,192.0,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Isiah Pacheco,KC,238.1,1064.0,8.5,38.8,258.2,1.9,1.4,191.9,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
James Cook,BUF,231.7,1033.2,5.1,45.0,382.4,2.8,1.4,186.3,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
De'Von Achane,MIA,175.0,907.1,7.2,45.4,348.3,2.9,0.9,184.4,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
