name,team,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fum_lost,fpts_page,snapshot,kind,url
Ja'Marr Chase,CIN,120.7,1577.4,12.2,1.6,12.7,0.0,0.6,231.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Justin Jefferson,MIN,106.4,1480.7,9.8,0.5,2.2,0.0,0.6,205.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
CeeDee Lamb,DAL,111.5,1393.7,8.0,9.2,59.4,0.3,1.0,193.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Puka Nacua,LAR,104.9,1362.5,6.9,10.7,61.2,0.6,0.6,186.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Malik Nabers,NYG,107.0,1344.1,8.2,2.6,12.2,0.0,0.6,183.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Nico Collins,HOU,91.9,1310.4,8.9,0.0,1.6,0.0,0.5,183.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Brian Thomas Jr.,JAC,91.8,1290.8,8.6,3.8,25.1,0.0,0.6,182.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Amon-Ra St. Brown,DET,110.4,1267.3,8.8,1.9,12.6,0.1,0.9,179.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
A.J. Brown,PHI,84.9,1244.5,8.4,0.0,0.0,0.0,0.9,172.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Drake London,ATL,95.9,1232.6,8.2,0.3,2.0,0.0,0.6,171.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tyreek Hill,MIA,94.2,1182.4,7.7,7.2,40.5,0.1,0.6,168.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Ladd McConkey,LAC,90.5,1209.7,7.4,0.0,1.4,0.0,0.7,163.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Mike Evans,TB,78.6,1056.9,9.8,0.0,0.0,0.0,0.5,163.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tee Higgins,CIN,86.6,1093.7,8.9,0.0,0.0,0.0,0.9,161.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Terry McLaurin,WAS,83.6,1115.2,8.2,1.1,4.8,0.0,0.9,159.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Davante Adams,LAR,85.2,1100.2,8.4,0.3,0.0,0.0,0.5,159.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
DK Metcalf,PIT,77.8,1136.5,7.3,0.0,1.2,0.0,1.3,154.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Marvin Harrison Jr.,ARI,78.9,1089.5,7.6,0.0,3.2,0.0,1.0,153.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jaxon Smith-Njigba,SEA,94.4,1115.9,6.6,2.7,20.7,0.0,0.6,152.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Xavier Worthy,KC,72.6,902.9,7.3,15.4,84.4,1.3,0.5,149.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Zay Flowers,BAL,75.9,1042.8,6.3,8.2,48.4,0.1,0.5,146.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Garrett Wilson,NYJ,91.5,1095.6,6.0,1.9,13.5,0.0,1.3,144.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Courtland Sutton,DEN,76.7,1015.8,7.4,0.0,0.2,0.0,0.9,144.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
DJ Moore,CHI,86.7,1007.5,6.3,9.5,54.0,0.1,0.9,143.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Calvin Ridley,TEN,70.1,1025.3,6.0,5.6,33.4,0.3,0.9,141.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jameson Williams,DET,60.4,958.3,5.9,7.4,63.4,0.8,0.5,141.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
DeVonta Smith,PHI,81.2,977.4,6.8,0.3,1.2,0.0,0.5,137.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
George Pickens,DAL,68.4,1001.2,6.4,1.0,6.2,0.0,0.9,137.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jerry Jeudy,CLE,81.3,1096.8,4.1,0.3,4.8,0.0,0.6,133.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Deebo Samuel Sr.,WAS,65.1,834.6,5.1,30.1,127.9,1.2,1.0,132.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jakobi Meyers,LV,82.3,965.0,5.3,1.2,8.9,0.0,0.5,128.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tetairoa McMillan,CAR,73.3,952.1,5.8,0.5,7.4,0.0,1.2,128.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jaylen Waddle,MIA,75.5,965.2,4.9,2.5,16.1,0.1,0.5,126.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Rashee Rice,KC,74.9,868.8,6.4,1.5,5.6,0.0,0.6,124.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jayden Reed,GB,57.3,769.7,5.5,11.8,93.5,0.7,0.9,122.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jauan Jennings,SF,67.8,892.6,5.2,3.6,15.7,0.1,0.6,121.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Travis Hunter,JAC,68.4,885.9,5.2,3.8,21.8,0.1,0.8,121.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Matthew Golden,GB,61.5,854.3,6.0,0.5,9.4,0.0,0.8,120.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Chris Godwin,TB,74.0,855.9,5.8,1.2,6.9,0.0,0.6,120.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Rome Odunze,CHI,65.6,880.2,5.3,1.3,8.0,0.0,0.9,119.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Chris Olave,NO,76.4,946.1,4.4,0.3,2.8,0.0,1.3,118.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Keon Coleman,BUF,52.4,822.7,6.1,0.3,3.8,0.0,0.5,118.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jordan Addison,MIN,60.9,799.7,6.0,1.2,11.2,0.3,0.4,117.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Stefon Diggs,NE,77.4,852.6,5.1,1.3,6.9,0.2,0.5,117.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Ricky Pearsall,SF,59.5,804.2,4.9,7.0,53.4,0.3,0.6,116.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
