name,pos,adp
Jahmyr Gibbs,RB,1.3
Bijan Robinson,RB,2.0
Ja'Marr Chase,WR,3.5
Puka Nacua,WR,5.0
Christian McCaffrey,RB,5.9
Jonathan Taylor,RB,6.2
Jaxon Smith-Njigba,WR,7.3
Amon-Ra St. Brown,WR,7.9
James Cook III,RB,9.4
CeeDee Lamb,WR,11.1
Saquon Barkley,RB,11.3
Justin Jefferson,WR,13.3
De'Von Achane,RB,15.3
Kenneth Walker III,RB,15.3
Chase Brown,RB,15.7
Derrick Henry,RB,17.1
Ashton Jeanty,RB,17.9
Omarion Hampton,RB,18.1
Drake London,WR,20.2
Josh Allen,QB,20.7
Brock Bowers,TE,21.0
Nico Collins,WR,21.5
George Pickens,WR,22.5
A.J. Brown,WR,24.0
Trey McBride,TE,27.3
Kyren Williams,RB,27.9
DeVonta Smith,WR,29.5
Jeremiyah Love,RB,29.8
Malik Nabers,WR,30.3
Chris Olave,WR,31.1
Javonte Williams,RB,33.5
Tee Higgins,WR,33.6
Breece Hall,RB,34.6
Zay Flowers,WR,35.6
Rashee Rice,WR,35.8
Lamar Jackson,QB,38.7
Colston Loveland,TE,39.2
Jaylen Waddle,WR,39.8
Tetairoa McMillan,WR,41.9
Travis Etienne Jr.,RB,41.9
Cam Skattebo,RB,42.4
Ladd McConkey,WR,44.6
D'Andre Swift,RB,45.6
Emeka Egbuka,WR,45.7
Tyler Warren,TE,47.0
Garrett Wilson,WR,47.7
Drake Maye,QB,47.8
Joe Burrow,QB,50.3
Josh Jacobs,RB,51.8
David Montgomery,RB,53.1
Bucky Irving,RB,53.9
Terry McLaurin,WR,54.3
Quinshon Judkins,RB,54.6
Jayden Daniels,QB,55.5
Jalen Hurts,QB,56.5
Davante Adams,WR,56.9
Luther Burden III,WR,57.8
DJ Moore,WR,58.9
Tucker Kraft,TE,60.3
Bhayshul Tuten,RB,61.2
Sam LaPorta,TE,63.2
Jadarian Price,RB,63.7
Jameson Williams,WR,65.5
Rome Odunze,WR,66.5
Caleb Williams,QB,66.6
TreVeyon Henderson,RB,67.2
Christian Watson,WR,67.7
Mike Evans,WR,69.7
Justin Herbert,QB,70.3
Harold Fannin Jr.,TE,70.7
Kyle Pitts Sr.,TE,72.1
Dak Prescott,QB,73.1
Jaylen Warren,RB,76.0
Rhamondre Stevenson,RB,76.9
Parker Washington,WR,77.0
Marvin Harrison Jr.,WR,78.2
Carnell Tate,WR,81.7
George Kittle,TE,82.5
Trevor Lawrence,QB,83.6
Brian Thomas Jr.,WR,84.0
DK Metcalf,WR,85.6
Tony Pollard,RB,86.0
Rico Dowdle,RB,86.4
Rams,DEF,87.2
Brandon Aubrey,K,87.4
Chuba Hubbard,RB,90.6
Jonathon Brooks,RB,91.1
Jaxson Dart,QB,92.7
MarShawn Lloyd,RB,93.5
Texans,DEF,94.1
J.K. Dobbins,RB,94.6
Travis Kelce,TE,94.9
Chris Godwin Jr.,WR,95.3
Alec Pierce,WR,96.0
Dalton Kincaid,TE,97.5
Brock Purdy,QB,98.4
Bo Nix,QB,98.7
Blake Corum,RB,99.5
Matthew Stafford,QB,99.6
Michael Wilson,WR,100.5
Jordyn Tyson,WR,101.7
Broncos,DEF,102.5
Patrick Mahomes,QB,103.8
Stefon Diggs,WR,104.8
Dallas Goedert,TE,105.1
Josh Downs,WR,106.0
Courtland Sutton,WR,106.2
Jacory Croskey-Merritt,RB,106.4
De'Zhaun Stribling,WR,108.8
Quentin Johnston,WR,108.8
Seahawks,DEF,108.9
RJ Harvey,RB,109.2
Isaiah Likely,TE,109.5
Kyle Monangai,RB,110.0
Jordan Mason,RB,112.0
Kyler Murray,QB,112.8
Mark Andrews,TE,113.3
Jared Goff,QB,113.4
Ricky Pearsall,WR,114.9
Jordan Addison,WR,115.4
Aaron Rodgers,QB,115.8
