name,pos,adp
Jahmyr Gibbs,RB,1.3
Bijan Robinson,RB,2.0
Ja'Marr Chase,WR,3.5
Puka Nacua,WR,4.9
Christian McCaffrey,RB,5.8
Jonathan Taylor,RB,6.4
Jaxon Smith-Njigba,WR,7.2
Amon-Ra St. Brown,WR,7.9
James Cook III,RB,9.5
CeeDee Lamb,WR,10.9
Saquon Barkley,RB,11.5
Justin Jefferson,WR,13.2
De'Von Achane,RB,15.3
Kenneth Walker III,RB,15.6
Chase Brown,RB,15.9
Ashton Jeanty,RB,17.1
Derrick Henry,RB,17.3
Omarion Hampton,RB,18.3
Drake London,WR,19.9
Josh Allen,QB,20.3
Brock Bowers,TE,21.0
Nico Collins,WR,21.8
George Pickens,WR,22.5
A.J. Brown,WR,24.1
Trey McBride,TE,26.8
Kyren Williams,RB,28.2
DeVonta Smith,WR,29.5
Jeremiyah Love,RB,29.7
Malik Nabers,WR,30.7
Chris Olave,WR,31.6
Tee Higgins,WR,33.5
Javonte Williams,RB,34.1
Breece Hall,RB,34.7
Rashee Rice,WR,35.4
Zay Flowers,WR,35.7
Lamar Jackson,QB,38.5
Colston Loveland,TE,39.3
Jaylen Waddle,WR,40.3
Tetairoa McMillan,WR,41.8
Travis Etienne Jr.,RB,42.3
Cam Skattebo,RB,42.4
Josh Jacobs,RB,43.0
Ladd McConkey,WR,44.8
Emeka Egbuka,WR,45.2
D'Andre Swift,RB,46.0
Tyler Warren,TE,47.2
Drake Maye,QB,47.5
Garrett Wilson,WR,48.4
Joe Burrow,QB,50.1
David Montgomery,RB,53.2
Terry McLaurin,WR,54.1
Quinshon Judkins,RB,54.2
Bucky Irving,RB,54.7
Jayden Daniels,QB,54.9
Davante Adams,WR,56.2
Jalen Hurts,QB,56.8
Luther Burden III,WR,58.2
DJ Moore,WR,59.7
Tucker Kraft,TE,60.5
Bhayshul Tuten,RB,61.6
Sam LaPorta,TE,63.2
Jadarian Price,RB,64.4
Jameson Williams,WR,65.8
TreVeyon Henderson,RB,66.1
Rome Odunze,WR,66.5
Caleb Williams,QB,67.0
Christian Watson,WR,67.8
Mike Evans,WR,69.0
Justin Herbert,QB,70.3
Harold Fannin Jr.,TE,71.0
Kyle Pitts Sr.,TE,72.3
Dak Prescott,QB,73.5
Jaylen Warren,RB,76.4
Rhamondre Stevenson,RB,78.1
Parker Washington,WR,78.2
Marvin Harrison Jr.,WR,78.3
Carnell Tate,WR,81.2
George Kittle,TE,83.6
Trevor Lawrence,QB,83.9
Brian Thomas Jr.,WR,84.2
Tony Pollard,RB,85.8
DK Metcalf,WR,85.9
Brandon Aubrey,K,86.5
Rico Dowdle,RB,86.6
Rams,DEF,87.8
Chuba Hubbard,RB,89.8
Jaxson Dart,QB,91.4
Jonathon Brooks,RB,92.3
Texans,DEF,93.7
Travis Kelce,TE,94.6
J.K. Dobbins,RB,95.0
Alec Pierce,WR,95.6
Chris Godwin Jr.,WR,96.1
Dalton Kincaid,TE,97.9
Brock Purdy,QB,98.4
Bo Nix,QB,99.0
Blake Corum,RB,99.5
Jordyn Tyson,WR,99.5
Matthew Stafford,QB,99.8
Michael Wilson,WR,101.0
Broncos,DEF,101.7
Patrick Mahomes,QB,102.7
Stefon Diggs,WR,104.5
MarShawn Lloyd,RB,104.6
Courtland Sutton,WR,105.4
Dallas Goedert,TE,105.5
Josh Downs,WR,107.1
Jacory Croskey-Merritt,RB,107.3
RJ Harvey,RB,107.8
Kyle Monangai,RB,108.3
Seahawks,DEF,108.3
De'Zhaun Stribling,WR,109.2
Isaiah Likely,TE,109.5
Quentin Johnston,WR,110.1
Kyler Murray,QB,112.5
Jordan Mason,RB,113.1
Mark Andrews,TE,113.2
Jared Goff,QB,113.9
Ricky Pearsall,WR,114.8
Jordan Addison,WR,115.8
Makai Lemon,WR,116.2
