market,side,bucket,n,p_model_mean,hit_rate
rec_yards,Over,50-60,1823,0.5643603949533735,0.5902358749314317
rec_yards,Over,60-70,2668,0.6499883808095952,0.671664167916042
rec_yards,Over,70-80,2326,0.7483112639724849,0.7300085984522786
rec_yards,Over,80-90,1628,0.843948402948403,0.8409090909090909
rec_yards,Over,90+,380,0.9229684210526315,0.9236842105263158
rec_yards,Under,50-60,1559,0.56954201411161,0.5561257216164208
rec_yards,Under,60-70,2972,0.6504919246298788,0.6473755047106325
rec_yards,Under,70-80,2524,0.7465174326465928,0.7416798732171157
rec_yards,Under,80-90,1582,0.8418994943109988,0.850189633375474
rec_yards,Under,90+,838,0.9442052505966587,0.9009546539379475
receptions,Over,50-60,1134,0.5485617283950617,0.5511463844797179
receptions,Over,60-70,1280,0.65218046875,0.65546875
receptions,Over,70-80,1487,0.7484169468728984,0.7249495628782784
receptions,Over,80-90,1846,0.8522914409534127,0.8336944745395449
receptions,Over,90+,1405,0.9374142348754448,0.9366548042704627
receptions,Under,50-60,894,0.5510369127516779,0.5637583892617449
receptions,Under,60-70,1027,0.6511129503407984,0.6387536514118792
receptions,Under,70-80,1306,0.7519663093415008,0.7480857580398163
receptions,Under,80-90,1978,0.8537249747219413,0.8559150657229525
receptions,Under,90+,2375,0.9430631578947368,0.9402105263157895
