team,targets,carries,i10_targets,i10_carries,pass_td,rush_td
ARI,30.7647,27.0,1.7647,2.0,1.2353,1.0588
ATL,31.7647,28.4706,1.1765,3.0,1.2353,1.0588
BAL,26.9412,31.8235,1.8235,2.6471,2.4118,1.2353
BUF,29.1765,27.7059,1.7059,3.5294,1.7647,1.8824
CAR,30.5294,23.6471,1.9412,2.4706,1.2941,1.0588
CHI,31.5294,24.6471,2.0,1.9412,1.1765,0.7647
CIN,37.0588,21.6471,3.9412,2.6471,2.5294,0.6471
CLE,37.7059,22.7647,2.0,1.8824,1.1176,0.4706
DAL,36.7647,24.7059,1.8235,1.5294,1.3529,0.3529
DEN,32.3529,26.1176,1.8235,1.9412,1.7647,0.7059
DET,30.7647,30.4118,2.4706,3.8824,2.2941,1.7059
GB,27.5294,30.4118,1.7059,3.4118,1.6471,1.3529
HOU,32.1765,24.8235,2.1176,2.4118,1.1765,0.8824
IND,29.0588,28.7647,1.4118,3.4706,1.1765,1.1765
JAX,31.1176,23.9412,2.1765,2.3529,1.1176,0.7647
KC,33.7647,25.1765,2.8235,2.3529,1.5294,0.8824
LA,32.0,25.6471,2.4706,2.5294,1.2941,0.8824
LAC,29.0588,26.1176,1.4706,2.8235,1.3529,1.0
LV,34.9412,21.8235,1.7647,2.1176,1.1176,0.5882
MIA,33.7059,25.9412,2.6471,2.2941,1.2941,0.7059
MIN,30.4706,25.4118,2.6471,2.1176,2.0588,0.5294
NE,29.6471,25.7647,1.6471,1.7059,1.0588,0.6471
NO,30.6471,25.5882,1.0588,1.8235,1.2353,0.8824
NYG,32.8235,24.1765,1.6471,1.8235,0.8824,0.7647
NYJ,34.9412,21.2353,2.7059,1.1176,1.8235,0.4706
PHI,24.6471,35.2941,1.4118,4.0,1.4118,1.7059
PIT,27.1765,30.5294,1.5882,2.8824,1.2353,0.8235
SEA,33.6471,21.7647,1.7059,2.0588,1.2353,1.0
SF,30.2353,26.4706,2.1765,3.2941,1.3529,1.0
TB,33.2353,27.7059,2.9412,2.4706,2.4118,0.9412
TEN,30.0,26.3529,1.4706,1.5294,1.2941,0.6471
WAS,29.8824,30.2941,2.1176,3.9412,1.7059,1.4706
