team,posgrp,metric,n,value,league,var_play,k_eb,between_var
ARI,ALL,ypt,541,7.630314232902033,7.319899395173364,80.95567193811193,423.2498391543696,0.00391817122363068
ARI,ALL,catch_rate,541,0.6931608133086876,0.6717168692736092,,320.9784577564491,0.0015226021030540439
ARI,OTHER,ypt,51,7.196078431372549,7.014322916666667,59.92078431372546,71.82482665639307,0.021704806539040153
ARI,OTHER,catch_rate,51,0.6666666666666666,0.6796875,,111.42454609768586,0.004229448396432637
ARI,RB,ypt,87,6.195402298850575,5.776709401709402,52.554397219994655,155.33379421101966,0.01217468644255527
ARI,RB,catch_rate,87,0.7816091954022989,0.7795584045584045,,269.6993396752406,0.0010484917179406582
ARI,TE,ypt,120,8.183333333333334,7.402552926525529,55.71400560224087,477.88573528846166,0.002517228048063173
ARI,TE,catch_rate,120,0.7583333333333333,0.7238480697384807,,3197.323600121806,0.00011932022655747202
ARI,WR,ypt,283,7.915194346289753,7.8248111244935945,103.9785981003935,512.9979346061339,0.003362458988259805
ARI,WR,catch_rate,283,0.6431095406360424,0.6188547027263769,,592.4406304935924,0.0010395778909722611
ATL,ALL,ypt,513,7.333333333333333,7.319899395173364,88.24218749999999,423.2498391543696,0.00391817122363068
ATL,ALL,catch_rate,513,0.645224171539961,0.6717168692736092,,320.9784577564491,0.0015226021030540439
ATL,OTHER,ypt,54,7.944444444444445,7.014322916666667,71.56289308176103,71.82482665639307,0.021704806539040153
ATL,OTHER,catch_rate,54,0.7037037037037037,0.6796875,,111.42454609768586,0.004229448396432637
ATL,RB,ypt,92,5.326086956521739,5.776709401709402,47.013377926421384,155.33379421101966,0.01217468644255527
ATL,RB,catch_rate,92,0.717391304347826,0.7795584045584045,,269.6993396752406,0.0010484917179406582
ATL,TE,ypt,77,7.064935064935065,7.402552926525529,73.11414900888586,477.88573528846166,0.002517228048063173
ATL,TE,catch_rate,77,0.6623376623376623,0.7238480697384807,,3197.323600121806,0.00011932022655747202
ATL,WR,ypt,290,7.927586206896552,7.8248111244935945,107.45148550292332,512.9979346061339,0.003362458988259805
