team,week,gsis_id,slot
ARI,2,00-0035228,QB1
ARI,2,00-0039921,RB2
ARI,2,00-0033553,RB1
ARI,2,00-0038559,WR2
ARI,2,00-0039849,WR1
ARI,2,00-0033891,WR3
ARI,2,00-0037744,TE1
ARI,4,00-0035228,QB1
ARI,4,00-0039921,RB1
ARI,4,00-0038705,RB2
ARI,4,00-0039849,WR1
ARI,4,00-0038559,WR2
ARI,4,00-0033891,WR3
ARI,4,00-0037744,TE1
ARI,5,00-0035228,QB1
ARI,5,00-0038705,RB1
ARI,5,00-0036924,RB2
ARI,5,00-0039849,WR1
ARI,5,00-0038559,WR2
ARI,5,00-0033891,WR3
ARI,5,00-0037744,TE1
ARI,7,00-0035228,QB1
ARI,11,00-0033119,QB1
ARI,11,00-0038705,RB2
ARI,11,00-0037157,RB1
ARI,11,00-0039849,WR1
ARI,11,00-0038559,WR2
ARI,11,00-0035500,WR3
ARI,11,00-0037744,TE1
ARI,12,00-0033119,QB1
ARI,12,00-0037157,RB1
ARI,12,00-0038705,RB2
ARI,12,00-0038559,WR2
ARI,12,00-0035500,WR3
ARI,12,00-0039849,WR1
ARI,12,00-0037744,TE1
ARI,14,00-0033119,QB1
ARI,14,00-0038705,RB2
ARI,14,00-0037157,RB1
ARI,14,00-0039849,WR1
ARI,14,00-0038559,WR2
ARI,14,00-0039521,WR3
ARI,14,00-0037744,TE1
ARI,16,00-0033119,QB1
ARI,16,00-0038705,RB2
ARI,16,00-0036924,RB1
ARI,16,00-0039521,WR3
ARI,16,00-0039849,WR1
ARI,16,00-0038559,WR2
ARI,16,00-0037744,TE1
ARI,1,00-0035228,QB1
ARI,1,00-0033553,RB1
ARI,1,00-0039921,RB2
ARI,1,00-0039849,WR1
ARI,1,00-0038559,WR2
ARI,1,00-0033891,WR3
ARI,1,00-0037744,TE1
ARI,3,00-0035228,QB1
ARI,3,00-0033553,RB1
ARI,3,00-0039921,RB2
ARI,3,00-0038559,WR2
ARI,3,00-0039849,WR1
ARI,3,00-0033891,WR3
ARI,3,00-0037744,TE1
ARI,6,00-0035228,QB1
ARI,6,00-0036924,RB1
ARI,6,00-0038705,RB2
ARI,6,00-0039849,WR1
ARI,6,00-0038559,WR2
ARI,6,00-0033891,WR3
ARI,6,00-0037744,TE1
ARI,9,00-0035228,QB1
ARI,9,00-0037157,RB1
ARI,9,00-0038705,RB2
ARI,9,00-0038559,WR2
ARI,9,00-0039849,WR1
ARI,9,00-0033891,WR3
ARI,9,00-0037744,TE1
ARI,10,00-0033119,QB1
ARI,10,00-0037157,RB1
ARI,10,00-0038705,RB2
ARI,10,00-0039849,WR1
ARI,10,00-0038559,WR2
ARI,10,00-0033891,WR3
ARI,10,00-0037744,TE1
ARI,13,00-0033119,QB1
ARI,13,00-0037157,RB1
ARI,13,00-0038705,RB2
ARI,13,00-0035500,WR3
ARI,13,00-0039849,WR1
ARI,13,00-0038559,WR2
ARI,13,00-0037744,TE1
ARI,15,00-0033119,QB1
ARI,15,00-0038705,RB2
ARI,15,00-0037157,RB1
ARI,15,00-0039521,WR3
ARI,15,00-0038559,WR2
ARI,15,00-0039849,WR1
ARI,15,00-0037744,TE1
ARI,17,00-0033119,QB1
ARI,17,00-0038705,RB2
ARI,17,00-0036924,RB1
ARI,17,00-0039521,WR3
ARI,17,00-0039849,WR1
ARI,17,00-0038559,WR2
ARI,17,00-0037744,TE1
ARI,18,00-0033119,QB1
ARI,18,00-0038705,RB2
ARI,18,00-0036924,RB1
ARI,18,00-0038640,WR3
ARI,18,00-0038559,WR1
ARI,18,00-0039521,WR2
ARI,18,00-0037744,TE1
ATL,1,00-0039917,QB1
ATL,1,00-0038542,RB1
ATL,1,00-0037263,RB2
ATL,1,00-0037238,WR1
ATL,1,00-0036309,WR2
ATL,1,00-0034407,WR3
ATL,1,00-0036970,TE1
ATL,4,00-0039917,QB1
ATL,4,00-0038542,RB1
ATL,4,00-0037263,RB2
ATL,4,00-0036309,WR2
ATL,4,00-0037238,WR1
ATL,4,00-0034407,WR3
ATL,4,00-0036970,TE1
ATL,6,00-0039917,QB1
ATL,6,00-0038542,RB1
ATL,6,00-0037263,RB2
ATL,6,00-0037238,WR1
ATL,6,00-0036309,WR2
ATL,6,00-0034407,WR3
ATL,6,00-0036970,TE1
ATL,8,00-0039917,QB1
ATL,8,00-0038542,RB1
ATL,8,00-0037263,RB2
ATL,8,00-0037238,WR1
ATL,8,00-0036309,WR2
ATL,8,00-0035359,WR3
ATL,8,00-0036970,TE1
ATL,11,00-0039917,QB1
ATL,11,00-0038542,RB1
ATL,11,00-0037263,RB2
ATL,11,00-0037238,WR1
ATL,11,00-0036309,WR2
ATL,11,00-0035359,WR3
ATL,11,00-0036970,TE1
ATL,14,00-0029604,QB1
ATL,14,00-0037263,RB2
ATL,14,00-0038542,RB1
ATL,14,00-0036309,WR2
ATL,14,00-0037238,WR1
ATL,14,00-0035359,WR3
ATL,14,00-0036970,TE1
ATL,17,00-0029604,QB1
ATL,17,00-0037263,RB2
ATL,17,00-0038542,RB1
ATL,17,00-0036309,WR2
ATL,17,00-0037238,WR1
ATL,17,00-0035359,WR3
ATL,17,00-0036970,TE1
ATL,18,00-0029604,QB1
ATL,18,00-0038542,RB1
ATL,18,00-0037263,RB2
ATL,18,00-0037238,WR1
ATL,18,00-0036309,WR2
ATL,18,00-0035359,WR3
ATL,18,00-0036970,TE1
ATL,2,00-0039917,QB1
ATL,2,00-0038542,RB1
ATL,2,00-0037263,RB2
ATL,2,00-0037238,WR1
ATL,2,00-0036309,WR2
ATL,2,00-0034407,WR3
ATL,2,00-0036970,TE1
ATL,3,00-0039917,QB1
ATL,3,00-0037263,RB2
ATL,3,00-0038542,RB1
ATL,3,00-0037238,WR1
ATL,3,00-0036309,WR2
ATL,3,00-0034407,WR3
ATL,3,00-0036970,TE1
ATL,7,00-0039917,QB1
ATL,7,00-0038542,RB1
ATL,7,00-0037263,RB2
ATL,7,00-0036309,WR2
ATL,7,00-0037238,WR1
ATL,7,00-0039394,WR3
ATL,7,00-0036970,TE1
ATL,9,00-0039917,QB1
ATL,9,00-0038542,RB1
ATL,9,00-0037263,RB2
ATL,9,00-0037238,WR1
ATL,9,00-0036309,WR2
ATL,9,00-0035359,WR3
ATL,9,00-0036970,TE1
ATL,10,00-0039917,QB1
ATL,10,00-0038542,RB1
ATL,10,00-0037263,RB2
ATL,10,00-0037238,WR1
ATL,10,00-0036309,WR2
ATL,10,00-0035359,WR3
ATL,10,00-0036970,TE1
ATL,12,00-0029604,QB1
ATL,12,00-0038542,RB1
ATL,12,00-0037263,RB2
ATL,12,00-0037238,WR1
ATL,12,00-0036309,WR2
ATL,12,00-0035359,WR3
ATL,12,00-0036970,TE1
ATL,13,00-0029604,QB1
ATL,13,00-0038542,RB1
ATL,13,00-0037263,RB2
ATL,13,00-0037238,WR1
ATL,13,00-0036309,WR2
ATL,13,00-0035359,WR3
ATL,13,00-0036970,TE1
ATL,15,00-0029604,QB1
ATL,15,00-0037263,RB2
ATL,15,00-0038542,RB1
ATL,15,00-0037238,WR1
ATL,15,00-0036309,WR2
ATL,15,00-0035359,WR3
ATL,15,00-0036970,TE1
ATL,16,00-0029604,QB1
ATL,16,00-0037263,RB2
ATL,16,00-0038542,RB1
ATL,16,00-0035359,WR3
ATL,16,00-0036309,WR2
ATL,16,00-0037238,WR1
ATL,16,00-0036970,TE1
BAL,2,00-0034796,QB1
BAL,2,00-0032764,RB1
BAL,2,00-0034975,RB2
BAL,2,00-0039064,WR1
BAL,2,00-0036550,WR2
BAL,2,00-0030564,WR3
BAL,2,00-0034753,TE1
BAL,3,00-0034796,QB1
BAL,3,00-0032764,RB1
BAL,3,00-0034975,RB2
BAL,3,00-0039064,WR1
BAL,3,00-0036550,WR2
BAL,3,00-0030564,WR3
BAL,3,00-0034753,TE1
BAL,5,00-0034796,QB1
BAL,5,00-0032764,RB1
BAL,5,00-0034975,RB2
BAL,5,00-0036550,WR2
BAL,5,00-0039064,WR1
BAL,5,00-0030564,WR3
BAL,5,00-0034753,TE1
BAL,6,00-0034796,QB1
BAL,6,00-0034975,RB2
BAL,6,00-0032764,RB1
BAL,6,00-0036550,WR2
BAL,6,00-0039064,WR1
BAL,6,00-0030564,WR3
