season,week,game_id,team,player_id,qb_rush,rush_in5,rush_far,pass_ez,pass_rz,pass_far
2025,1,2025_01_ARI_NO,ARI,00-0033553,0,1,11,0,1,3
2025,1,2025_01_ARI_NO,ARI,00-0033891,0,0,0,0,0,1
2025,1,2025_01_ARI_NO,ARI,00-0035228,7,0,0,0,0,0
2025,1,2025_01_ARI_NO,ARI,00-0035500,0,0,0,0,0,1
2025,1,2025_01_ARI_NO,ARI,00-0037744,0,0,0,0,1,8
2025,1,2025_01_ARI_NO,ARI,00-0038559,0,0,0,0,0,4
2025,1,2025_01_ARI_NO,ARI,00-0039041,0,0,0,0,1,1
2025,1,2025_01_ARI_NO,ARI,00-0039737,0,0,0,0,0,1
2025,1,2025_01_ARI_NO,ARI,00-0039849,0,0,0,1,0,5
2025,1,2025_01_ARI_NO,ARI,00-0039921,0,0,8,0,0,1
2025,1,2025_01_ARI_NO,NO,00-0031236,0,0,0,0,0,4
2025,1,2025_01_ARI_NO,NO,00-0033906,0,1,10,0,0,2
2025,1,2025_01_ARI_NO,NO,00-0036040,0,0,0,1,1,9
2025,1,2025_01_ARI_NO,NO,00-0037239,0,0,0,1,0,12
2025,1,2025_01_ARI_NO,NO,00-0037545,0,0,0,1,0,8
2025,1,2025_01_ARI_NO,NO,00-0038551,0,0,5,0,0,0
2025,1,2025_01_ARI_NO,NO,00-0039376,4,0,0,0,0,0
2025,1,2025_01_ARI_NO,NO,00-0039424,0,0,0,1,0,1
2025,1,2025_01_ARI_NO,NO,00-0040202,0,0,2,0,0,0
2025,1,2025_01_BAL_BUF,BAL,00-0030564,0,0,0,0,0,2
2025,1,2025_01_BAL_BUF,BAL,00-0032764,0,0,18,0,0,1
2025,1,2025_01_BAL_BUF,BAL,00-0034753,0,0,0,0,0,1
2025,1,2025_01_BAL_BUF,BAL,00-0034796,6,0,0,0,0,0
2025,1,2025_01_BAL_BUF,BAL,00-0034975,0,0,2,0,0,2
2025,1,2025_01_BAL_BUF,BAL,00-0036550,0,0,0,0,0,4
2025,1,2025_01_BAL_BUF,BAL,00-0039064,0,0,2,0,0,9
2025,1,2025_01_BAL_BUF,BAL,00-0039796,0,0,1,0,0,0
2025,1,2025_01_BAL_BUF,BUF,00-0034857,11,0,0,0,0,0
2025,1,2025_01_BAL_BUF,BUF,00-0035537,0,0,2,0,1,1
2025,1,2025_01_BAL_BUF,BUF,00-0035689,0,0,0,0,0,2
2025,1,2025_01_BAL_BUF,BUF,00-0036980,0,0,1,0,0,1
2025,1,2025_01_BAL_BUF,BUF,00-0036988,0,0,0,1,1,7
2025,1,2025_01_BAL_BUF,BUF,00-0037248,0,2,11,0,0,5
2025,1,2025_01_BAL_BUF,BUF,00-0037261,0,0,0,0,2,7
