season,week,game_id,team,player_id,qb_rush_tds,off_tds
2023,1,2023_01_ARI_WAS,ARI,00-0033949,0,0
2023,1,2023_01_ARI_WAS,WAS,00-0037077,1,2
2023,1,2023_01_BUF_NYJ,BUF,00-0034857,0,1
2023,1,2023_01_BUF_NYJ,NYJ,00-0037013,0,1
2023,1,2023_01_CAR_ATL,ATL,00-0038122,0,3
2023,1,2023_01_CAR_ATL,CAR,00-0039150,0,1
2023,1,2023_01_CIN_CLE,CIN,00-0036442,0,0
2023,1,2023_01_CIN_CLE,CLE,00-0033537,1,2
2023,1,2023_01_DAL_NYG,DAL,00-0033077,0,3
2023,1,2023_01_DAL_NYG,NYG,00-0035710,0,0
2023,1,2023_01_DET_KC,DET,00-0033106,0,2
2023,1,2023_01_DET_KC,KC,00-0033873,0,2
2023,1,2023_01_GB_CHI,CHI,00-0036945,0,2
2023,1,2023_01_GB_CHI,GB,00-0036264,0,4
2023,1,2023_01_HOU_BAL,BAL,00-0034796,0,3
2023,1,2023_01_HOU_BAL,HOU,00-0039163,0,0
2023,1,2023_01_JAX_IND,IND,00-0039164,1,2
2023,1,2023_01_JAX_IND,JAX,00-0036971,0,4
2023,1,2023_01_LA_SEA,LA,00-0026498,0,3
2023,1,2023_01_LA_SEA,SEA,00-0030565,0,1
2023,1,2023_01_LV_DEN,DEN,00-0029263,0,2
2023,1,2023_01_LV_DEN,LV,00-0031345,0,2
2023,1,2023_01_MIA_LAC,LAC,00-0036355,1,4
2023,1,2023_01_MIA_LAC,MIA,00-0036212,0,4
2023,1,2023_01_PHI_NE,NE,00-0036972,0,3
2023,1,2023_01_PHI_NE,PHI,00-0036389,0,1
2023,1,2023_01_SF_PIT,PIT,00-0038102,0,1
2023,1,2023_01_SF_PIT,SF,00-0037834,0,3
2023,1,2023_01_TB_MIN,MIN,00-0029604,0,2
2023,1,2023_01_TB_MIN,TB,00-0034855,0,2
2023,1,2023_01_TEN_NO,NO,00-0031280,0,1
2023,1,2023_01_TEN_NO,TEN,00-0029701,0,0
2023,2,2023_02_BAL_CIN,BAL,00-0034796,0,3
2023,2,2023_02_BAL_CIN,CIN,00-0036442,0,2
2023,2,2023_02_CHI_TB,CHI,00-0036945,1,2
2023,2,2023_02_CHI_TB,TB,00-0034855,0,2
2023,2,2023_02_CLE_PIT,CLE,00-0033537,0,2
2023,2,2023_02_CLE_PIT,PIT,00-0038102,0,1
2023,2,2023_02_GB_ATL,ATL,00-0038122,1,2
2023,2,2023_02_GB_ATL,GB,00-0036264,0,3
2023,2,2023_02_IND_HOU,HOU,00-0039163,0,2
2023,2,2023_02_IND_HOU,IND,00-0035289,0,4
2023,2,2023_02_KC_JAX,JAX,00-0036971,0,0
2023,2,2023_02_KC_JAX,KC,00-0033873,0,2
2023,2,2023_02_LAC_TEN,LAC,00-0036355,0,2
2023,2,2023_02_LAC_TEN,TEN,00-0029701,1,3
2023,2,2023_02_LV_BUF,BUF,00-0034857,0,5
2023,2,2023_02_LV_BUF,LV,00-0031345,0,1
2023,2,2023_02_MIA_NE,MIA,00-0036212,0,3
2023,2,2023_02_MIA_NE,NE,00-0036972,0,2
