season,week,team,player_id,slot
2025,1,ARI,00-0033553,RB1
2025,1,ARI,00-0033891,WR3
2025,1,ARI,00-0035228,QB1
2025,1,ARI,00-0037744,TE1
2025,1,ARI,00-0038559,WR2
2025,1,ARI,00-0039849,WR1
2025,1,ARI,00-0039921,RB2
2025,1,ATL,00-0034407,WR3
2025,1,ATL,00-0036309,WR2
2025,1,ATL,00-0036970,TE1
2025,1,ATL,00-0037238,WR1
2025,1,ATL,00-0037263,RB2
2025,1,ATL,00-0038542,RB1
2025,1,ATL,00-0039917,QB1
2025,1,BAL,00-0030564,WR3
2025,1,BAL,00-0032764,RB1
2025,1,BAL,00-0034753,TE1
2025,1,BAL,00-0034796,QB1
2025,1,BAL,00-0034975,RB2
2025,1,BAL,00-0036550,WR2
2025,1,BAL,00-0039064,WR1
2025,1,BUF,00-0034857,QB1
2025,1,BUF,00-0036988,WR3
2025,1,BUF,00-0037248,RB1
2025,1,BUF,00-0037261,WR1
2025,1,BUF,00-0038933,TE1
2025,1,BUF,00-0039875,RB2
2025,1,BUF,00-0039901,WR2
2025,1,CAR,00-0034983,WR3
2025,1,CAR,00-0036139,RB2
2025,1,CAR,00-0036555,RB1
2025,1,CAR,00-0039150,QB1
2025,1,CAR,00-0039342,WR2
2025,1,CAR,00-0039356,TE1
2025,1,CAR,00-0040124,WR1
2025,1,CHI,00-0034827,WR1
2025,1,CHI,00-0036275,RB1
2025,1,CHI,00-0039021,RB2
2025,1,CHI,00-0039918,QB1
2025,1,CHI,00-0039919,WR2
2025,1,CHI,00-0040126,TE1
2025,1,CHI,00-0040735,WR3
2025,1,CIN,00-0033526,RB2
2025,1,CIN,00-0034829,TE1
2025,1,CIN,00-0036410,WR2
2025,1,CIN,00-0036442,QB1
2025,1,CIN,00-0036900,WR1
2025,1,CIN,00-0038597,RB1
2025,1,CIN,00-0038619,WR3
2025,1,CLE,00-0026158,QB1
2025,1,CLE,00-0033885,TE1
2025,1,CLE,00-0036407,WR1
2025,1,CLE,00-0037267,RB1
2025,1,CLE,00-0038979,WR2
2025,1,CLE,00-0039379,WR3
2025,1,CLE,00-0040162,RB2
2025,1,DAL,00-0033077,QB1
2025,1,DAL,00-0035243,RB2
2025,1,DAL,00-0036358,WR1
2025,1,DAL,00-0036997,RB1
2025,1,DAL,00-0037247,WR2
2025,1,DAL,00-0037666,WR3
2025,1,DAL,00-0038041,TE1
2025,1,DEN,00-0033881,TE1
2025,1,DEN,00-0034348,WR1
2025,1,DEN,00-0036158,RB1
2025,1,DEN,00-0038976,WR2
2025,1,DEN,00-0039732,QB1
2025,1,DEN,00-0039868,WR3
2025,1,DEN,00-0040730,RB2
2025,1,DET,00-0032464,WR3
2025,1,DET,00-0033106,QB1
2025,1,DET,00-0035685,RB2
2025,1,DET,00-0036963,WR1
2025,1,DET,00-0037240,WR2
2025,1,DET,00-0039065,TE1
2025,1,DET,00-0039139,RB1
2025,1,GB,00-0035700,RB1
2025,1,GB,00-0036264,QB1
2025,1,GB,00-0037816,WR3
2025,1,GB,00-0038797,RB2
2025,1,GB,00-0038996,TE1
2025,1,GB,00-0039146,WR1
2025,1,GB,00-0040667,WR2
2025,1,HOU,00-0034383,TE1
2025,1,HOU,00-0034775,WR2
2025,1,HOU,00-0034791,RB1
2025,1,HOU,00-0036554,WR1
2025,1,HOU,00-0037258,RB2
2025,1,HOU,00-0039163,QB1
2025,1,HOU,00-0040130,WR3
2025,1,IND,00-0035710,QB1
2025,1,IND,00-0036223,RB1
2025,1,IND,00-0036252,WR1
2025,1,IND,00-0037120,RB2
2025,1,IND,00-0037664,WR3
2025,1,IND,00-0038997,WR2
2025,1,IND,00-0040128,TE1
2025,1,JAX,00-0036626,WR3
2025,1,JAX,00-0036971,QB1
2025,1,JAX,00-0036973,RB1
2025,1,JAX,00-0038555,RB2
2025,1,JAX,00-0038935,TE1
2025,1,JAX,00-0039893,WR1
2025,1,JAX,00-0040718,WR2
2025,1,KC,00-0030506,TE1
2025,1,KC,00-0033857,WR3
2025,1,KC,00-0033873,QB1
2025,1,KC,00-0033923,RB2
2025,1,KC,00-0035662,WR2
2025,1,KC,00-0037197,RB1
2025,1,KC,00-0039894,WR1
2025,1,LA,00-0026498,QB1
2025,1,LA,00-0031381,WR2
2025,1,LA,00-0033110,TE1
2025,1,LA,00-0036849,WR3
