game_id,season,week,team,opp,points,implied,spread,qb_rush,rush_in5,rush_far,pass_ez,pass_rz,pass_far,dst_other,tds,off_tds,dst
2025_01_ARI_NO,2025,1,ARI,NO,20.0,25.25,6.0,0,0,0,1,1,0,0,2,2,0
2025_01_ARI_NO,2025,1,NO,ARI,13.0,19.25,-6.0,0,0,1,0,0,0,0,1,1,0
2025_01_BAL_BUF,2025,1,BAL,BUF,40.0,26.0,1.5,1,0,2,0,0,2,0,5,5,0
2025_01_BAL_BUF,2025,1,BUF,BAL,41.0,24.5,-1.5,2,1,0,2,0,0,0,5,5,0
2025_01_CAR_JAX,2025,1,CAR,JAX,10.0,20.5,-4.5,0,0,0,0,0,1,0,1,1,0
2025_01_CAR_JAX,2025,1,JAX,CAR,26.0,25.0,4.5,0,0,1,1,0,0,0,2,2,0
2025_01_CIN_CLE,2025,1,CIN,CLE,17.0,26.5,5.5,0,1,0,1,0,0,0,2,2,0
2025_01_CIN_CLE,2025,1,CLE,CIN,16.0,21.0,-5.5,0,1,0,1,0,0,0,2,2,0
2025_01_DAL_PHI,2025,1,DAL,PHI,20.0,19.5,-8.5,0,2,0,0,0,0,0,2,2,0
2025_01_DAL_PHI,2025,1,PHI,DAL,24.0,28.0,8.5,2,0,1,0,0,0,0,3,3,0
2025_01_DET_GB,2025,1,DET,GB,13.0,23.5,-1.5,0,0,0,1,0,0,0,1,1,0
2025_01_DET_GB,2025,1,GB,DET,27.0,25.0,1.5,0,1,0,2,0,0,0,3,3,0
2025_01_HOU_LA,2025,1,HOU,LA,9.0,20.0,-3.5,0,0,0,0,0,0,0,0,0,0
2025_01_HOU_LA,2025,1,LA,HOU,14.0,23.5,3.5,0,1,0,1,0,0,0,2,2,0
2025_01_KC_LAC,2025,1,KC,LAC,21.0,25.25,3.0,1,0,0,0,0,1,0,2,2,0
2025_01_KC_LAC,2025,1,LAC,KC,27.0,22.25,-3.0,0,0,0,2,0,1,0,3,3,0
2025_01_LV_NE,2025,1,LV,NE,20.0,21.0,-2.5,0,1,0,0,0,1,0,2,2,0
2025_01_LV_NE,2025,1,NE,LV,13.0,23.5,2.5,0,0,0,1,0,0,0,1,1,0
2025_01_MIA_IND,2025,1,IND,MIA,33.0,24.5,1.5,2,0,0,0,0,1,0,3,3,0
