team,latitude,longitude,note
ARI,33.5276,-112.2626,State Farm Stadium (Glendale)
ATL,33.7554,-84.4010,Mercedes-Benz Stadium (dome)
BAL,39.2780,-76.6227,M&T Bank Stadium
BUF,42.7738,-78.7870,Highmark Stadium (Orchard Park)
CAR,35.2258,-80.8528,Bank of America Stadium
CHI,41.8623,-87.6167,Soldier Field
CIN,39.0954,-84.5160,Paycor Stadium
CLE,41.5061,-81.6995,Huntington Bank Field
DAL,32.7473,-97.0945,AT&T Stadium (retractable)
DEN,39.7439,-105.0201,Empower Field
DET,42.3400,-83.0456,Ford Field (dome)
GB,44.5013,-88.0622,Lambeau Field
HOU,29.6847,-95.4107,NRG Stadium (retractable)
IND,39.7601,-86.1639,Lucas Oil Stadium (retractable)
JAX,30.3239,-81.6373,EverBank Stadium
KC,39.0489,-94.4839,GEHA Field at Arrowhead
LA,33.9535,-118.3392,SoFi Stadium (indoor-outdoor)
LAR,33.9535,-118.3392,SoFi Stadium (indoor-outdoor)
LAC,33.9535,-118.3392,SoFi Stadium (indoor-outdoor)
LV,36.0909,-115.1833,Allegiant Stadium (dome)
MIA,25.9580,-80.2389,Hard Rock Stadium
MIN,44.9736,-93.2575,U.S. Bank Stadium (dome)
NE,42.0909,-71.2643,Gillette Stadium
NO,29.9511,-90.0812,Caesars Superdome (dome)
NYG,40.8135,-74.0745,MetLife Stadium
NYJ,40.8135,-74.0745,MetLife Stadium
PHI,39.9008,-75.1675,Lincoln Financial Field
PIT,40.4468,-80.0158,Acrisure Stadium
SEA,47.5952,-122.3316,Lumen Field
SF,37.4032,-121.9698,Levi's Stadium
TB,27.9759,-82.5033,Raymond James Stadium
TEN,36.1665,-86.7713,Nissan Stadium
WAS,38.9076,-76.8645,Northwest Stadium (Landover)
