bucket,n,hit_rate,stated,diff,net,engine_hash
50%-55%,6,0.5,0.5236083333333333,-0.023608333333333342,-67.37999999999998,37b8ec713240221a2c90b36a2cf6b6f6f5cb57f40215e9896ffb110caa32484a
55%-60%,8,0.75,0.56876875,0.18123124999999995,271.56,37b8ec713240221a2c90b36a2cf6b6f6f5cb57f40215e9896ffb110caa32484a
60%-65%,3,0.3333333333333333,0.6246,-0.29126666666666673,-121.88,37b8ec713240221a2c90b36a2cf6b6f6f5cb57f40215e9896ffb110caa32484a
65%-70%,5,0.6,0.6744899999999999,-0.07448999999999995,-9.21,37b8ec713240221a2c90b36a2cf6b6f6f5cb57f40215e9896ffb110caa32484a
80%-101%,1,1.0,0.8291,0.17090000000000005,74.07,37b8ec713240221a2c90b36a2cf6b6f6f5cb57f40215e9896ffb110caa32484a
50%-55%,6,0.5,0.5123486159990729,-0.012348615999072887,-92.11999999999998,4fa7976f1dc363554655b47b5f7f91d42baeb09ecc0b4dbf88b4c58796ae797d
55%-60%,5,0.4,0.58826,-0.18825999999999998,-153.23,4fa7976f1dc363554655b47b5f7f91d42baeb09ecc0b4dbf88b4c58796ae797d
60%-65%,6,0.6666666666666666,0.62405,0.042616666666666636,90.27,4fa7976f1dc363554655b47b5f7f91d42baeb09ecc0b4dbf88b4c58796ae797d
65%-70%,4,0.25,0.668625,-0.418625,-221.88,4fa7976f1dc363554655b47b5f7f91d42baeb09ecc0b4dbf88b4c58796ae797d
70%-80%,3,0.3333333333333333,0.7469,-0.4135666666666667,-147.92000000000002,4fa7976f1dc363554655b47b5f7f91d42baeb09ecc0b4dbf88b4c58796ae797d
50%-55%,96,0.53125,0.5240302083333334,0.007219791666666642,-439.81999999999994,553aeb009ecd2b42b21f3b46eadccc96e098560ee3af50be4bdbfeacc301ee13
55%-60%,79,0.4810126582278481,0.5762462025316455,-0.09523354430379738,-1199.5399999999997,553aeb009ecd2b42b21f3b46eadccc96e098560ee3af50be4bdbfeacc301ee13
60%-65%,74,0.5,0.6265581081081082,-0.1265581081081082,-945.2,553aeb009ecd2b42b21f3b46eadccc96e098560ee3af50be4bdbfeacc301ee13
65%-70%,44,0.4772727272727273,0.671,-0.19372727272727275,-771.8299999999999,553aeb009ecd2b42b21f3b46eadccc96e098560ee3af50be4bdbfeacc301ee13
70%-80%,41,0.5853658536585366,0.7467012195121951,-0.1613353658536586,-42.92999999999995,553aeb009ecd2b42b21f3b46eadccc96e098560ee3af50be4bdbfeacc301ee13
80%-101%,11,0.6363636363636364,0.8340727272727272,-0.19770909090909083,102.54999999999998,553aeb009ecd2b42b21f3b46eadccc96e098560ee3af50be4bdbfeacc301ee13
50%-55%,7,0.42857142857142855,0.5259428571428572,-0.09737142857142861,-170.36,911a3de45e315fb1f5722b14753f5b070196c69b5128018fc16300b39e41e371
55%-60%,6,1.0,0.566,0.43400000000000005,468.58,911a3de45e315fb1f5722b14753f5b070196c69b5128018fc16300b39e41e371
60%-65%,4,0.5,0.6231500000000001,-0.12315000000000009,-72.85999999999999,911a3de45e315fb1f5722b14753f5b070196c69b5128018fc16300b39e41e371
65%-70%,4,0.5,0.6788875,-0.17888749999999998,-63.26,911a3de45e315fb1f5722b14753f5b070196c69b5128018fc16300b39e41e371
80%-101%,1,1.0,0.8291,0.17090000000000005,75.19,911a3de45e315fb1f5722b14753f5b070196c69b5128018fc16300b39e41e371
