player,pos,team,direction,rank_gap,value_rank,adp_rank,adp,tier,vorp,proj_pts,exp_games,rookie_flag,proj_source
Zach Charbonnet,RB,SEA,model_fade,-166,296,130,132.3,8,-136.9171033714716,0.0,15.333333333333334,false,override
Emari Demercado,RB,KCC,model_fade,-139,278,139,141.5,7,-44.85948967696673,92.05761369450487,12.0,false,blend
Tyler Allgeier,RB,ARI,model_fade,-124,287,163,155.7,7,-55.9171033714716,81.0,16.0,false,override
David Njoku,TE,LAC,model_fade,-121,279,158,153.0,3,-46.39441285914728,107.77482391599122,12.0,false,blend
Sam Darnold,QB,SEA,model_fade,-118,260,142,145.1,3,-36.05000682969498,233.33101571143376,13.666666666666666,false,blend
Jordan James,RB,SFO,model_fade,-116,277,161,154.8,7,-44.84730238904544,92.06980098242616,16.0,true,market_implied
Samaje Perine,RB,CIN,model_fade,-107,271,164,155.8,7,-42.39030076014167,94.52680261132993,15.0,false,blend
Isaiah Likely,TE,NYG,model_fade,-105,241,136,136.4,3,-28.1692367751385,126.0,12.0,false,override
Tua Tagovailoa,QB,ATL,model_fade,-105,289,184,161.9,3,-59.62912844350092,209.75189409762783,13.0,false,blend
Jayden Daniels,QB,WAS,model_fade,-102,174,72,71.4,3,-7.999031463741915,261.38199107738683,12.0,false,blend
Kenyon Sadiq,TE,NYJ,model_fade,-101,274,173,157.9,3,-43.32535538131938,110.84388139381912,16.0,true,market_implied
Kyler Murray,QB,MIN,model_fade,-100,233,133,134.4,3,-24.876786466491865,244.50423607463688,12.0,false,blend
Rashod Bateman,WR,BAL,model_fade,-98,257,159,153.4,5,-34.1937900409028,96.53914745649334,13.666666666666666,false,blend
Kenny Gainwell,RB,TBB,model_fade,-95,187,92,91.2,7,-12.917103371471597,124.0,15.333333333333334,false,override
Tyler Shough,QB,NOS,model_fade,-94,229,135,135.6,3,-22.598661017304664,246.78236152382408,12.0,false,blend
James Conner,RB,ARI,model_target,66,144,210,172.3,7,0.0,136.9171033714716,12.0,false,blend
Tyrone Tracy Jr.,RB,NYG,model_target,46,119,165,156.3,7,6.705982046083307,143.6230854175549,15.0,false,blend
Quentin Johnston,WR,LAC,model_target,40,58,98,97.6,5,38.76705418430734,169.49999168170348,14.0,false,blend
Jauan Jennings,WR,MIN,model_target,40,106,146,147.8,5,11.430714438727449,142.16365193612359,13.0,false,blend
Travis Hunter,WR,JAC,model_target,34,158,192,163.8,5,-3.0469327694101764,127.68600472798596,12.0,false,blend
RJ Harvey,RB,DEN,model_target,33,62,95,93.4,7,35.70977758450741,172.626880955979,16.0,false,blend
Wan'Dale Robinson,WR,TEN,model_target,30,56,86,86.4,5,40.25252524966996,170.9854627470661,15.0,false,blend
Kimani Vidal,RB,LAC,model_target,29,156,185,162.1,7,-2.5198866123196524,134.39721675915195,12.0,false,blend
Ryan Flournoy,WR,DAL,model_target,29,180,209,172.1,5,-9.852785101898519,120.88015239549762,12.0,false,blend
Darius Slayton,WR,NYG,model_target,23,189,212,175.1,5,-13.265017739582305,117.46791975781383,14.666666666666666,false,blend
Bub Means,WR,,model_target,21,179,200,167.0,5,-9.569273642018686,121.16366385537745,16.0,true,market_implied
DK Metcalf,WR,PIT,model_target,20,47,67,65.1,5,46.21430012577653,176.94723762317267,14.333333333333334,false,blend
Stefon Diggs,WR,WAS,model_target,20,73,93,91.6,5,25.85517644004429,156.58811393744043,13.0,false,blend
Deebo Samuel Sr.,WR,SFO,model_target,20,89,109,106.0,5,16.142533360171967,146.8754708575681,14.0,false,blend
Michael Wilson,WR,ARI,model_target,18,59,77,75.6,5,38.665776800290416,169.39871429768655,14.333333333333334,false,blend
