sleeper_id,name,pos,adp,model,sleeper,sleeper_as_of,espn,espn_as_of,sheet,sheet_as_of,mean,mean_n_sources,pair,league,model_built,actual
4034,Christian McCaffrey,RB,5.9,334.04999999999995,256.0,2026-09-02,300.982753873,2026-09-03,295.56000000000006,2026-09-01,278.49137693650005,2,2026,keefamania,2026-09-02,
9221,Jahmyr Gibbs,RB,1.4,303.55625,297.90000000000003,2026-09-02,330.9349918909999,2026-09-03,337.33000000000004,2026-09-01,314.41749594550004,2,2026,keefamania,2026-09-02,
9509,Bijan Robinson,RB,2.1,297.5,290.90000000000003,2026-09-02,313.545276802,2026-09-03,318.32,2026-09-01,302.22263840100004,2,2026,keefamania,2026-09-02,
7564,Ja'Marr Chase,WR,3.5,273.59375,254.6,2026-09-02,275.98217699900005,2026-09-03,275.09,2026-09-01,265.2910884995,2,2026,keefamania,2026-09-02,
6813,Jonathan Taylor,RB,6.5,281.03125,252.3,2026-09-02,289.630686985,2026-09-03,289.08000000000004,2026-09-01,270.9653434925,2,2026,keefamania,2026-09-02,
9493,Puka Nacua,WR,5.0,257.125,257.0,2026-09-02,291.701465033,2026-09-03,280.7,2026-09-01,274.3507325165,2,2026,keefamania,2026-09-02,
9488,Jaxon Smith-Njigba,WR,7.2,245.96875,233.10000000000002,2026-09-02,267.639605131,2026-09-03,270.68000000000006,2026-09-01,250.36980256549998,2,2026,keefamania,2026-09-02,
7547,Amon-Ra St. Brown,WR,8.0,237.89375,225.5,2026-09-02,264.74765059,2026-09-03,261.18,2026-09-01,245.12382529500002,2,2026,keefamania,2026-09-02,
8130,Trey McBride,TE,26.7,212.71249999999998,184.9,2026-09-02,187.171780324,2026-09-03,201.71,2026-09-01,186.035890162,2,2026,keefamania,2026-09-02,
9226,De'Von Achane,RB,15.4,248.2,229.9,2026-09-02,260.558314905,2026-09-03,260.01,2026-09-01,245.22915745250003,2,2026,keefamania,2026-09-02,
8138,James Cook III,RB,9.6,237.89375,243.3,2026-09-02,260.9412462,2026-09-03,253.95,2026-09-01,252.1206231,2,2026,keefamania,2026-09-02,
9224,Chase Brown,RB,16.0,234.49374999999998,226.7,2026-09-02,238.115300415,2026-09-03,246.45000000000002,2026-09-01,232.4076502075,2,2026,keefamania,2026-09-02,
11604,Brock Bowers,TE,21.2,191.56875000000002,200.5,2026-09-02,190.67402282100002,2026-09-03,199.4,2026-09-01,195.5870114105,2,2026,keefamania,2026-09-02,
6786,CeeDee Lamb,WR,10.9,211.33125,220.5,2026-09-02,241.22971695299998,2026-09-03,223.72,2026-09-01,230.86485847650002,2,2026,keefamania,2026-09-02,
6794,Justin Jefferson,WR,13.2,208.25,205.4,2026-09-02,238.009325396,2026-09-03,221.24000000000004,2026-09-01,221.70466269800002,2,2026,keefamania,2026-09-02,
8112,Drake London,WR,19.8,205.16875,203.20000000000002,2026-09-02,217.827368172,2026-09-03,222.49,2026-09-01,210.513684086,2,2026,keefamania,2026-09-02,
3198,Derrick Henry,RB,17.4,223.7625,236.4,2026-09-02,266.267273949,2026-09-03,265.4700000000001,2026-09-01,251.3336369745,2,2026,keefamania,2026-09-02,
4984,Josh Allen,QB,20.1,340.63750000000005,357.5,2026-09-02,376.50182916800003,2026-09-03,370.73600000000005,2026-09-01,367.00091458400004,2,2026,keefamania,2026-09-02,
4866,Saquon Barkley,RB,11.5,220.14999999999998,226.2,2026-09-02,250.91918699500005,2026-09-03,243.75,2026-09-01,238.5595934975,2,2026,keefamania,2026-09-02,
5859,A.J. Brown,WR,24.2,197.41250000000002,205.70000000000002,2026-09-02,206.16159243500002,2026-09-03,212.80000000000004,2026-09-01,205.93079621750002,2,2026,keefamania,2026-09-02,
7569,Nico Collins,WR,22.0,194.96875,218.0,2026-09-02,203.90791957300002,2026-09-03,209.50000000000003,2026-09-01,210.9539597865,2,2026,keefamania,2026-09-02,
8150,Kyren Williams,RB,28.3,213.24374999999998,192.0,2026-09-02,214.78269537100002,2026-09-03,218.42000000000002,2026-09-01,203.39134768550002,2,2026,keefamania,2026-09-02,
8144,Chris Olave,WR,32.0,193.58749999999998,192.9,2026-09-02,203.50571852200002,2026-09-03,213.98000000000002,2026-09-01,198.20285926100001,2,2026,keefamania,2026-09-02,
12507,Omarion Hampton,RB,18.5,212.075,218.9,2026-09-02,235.29597500900002,2026-09-03,229.15,2026-09-01,227.0979875045,2,2026,keefamania,2026-09-02,
7588,Javonte Williams,RB,34.4,209.41875,193.0,2026-09-02,240.007902171,2026-09-03,223.95999999999998,2026-09-01,216.5039510855,2,2026,keefamania,2026-09-02,
8137,George Pickens,WR,22.5,189.55,203.70000000000002,2026-09-02,198.701251688,2026-09-03,210.76000000000002,2026-09-01,201.20062584400003,2,2026,keefamania,2026-09-02,
10229,Rashee Rice,WR,35.4,187.31875000000002,183.3,2026-09-02,212.14856103600002,2026-09-03,219.56000000000003,2026-09-01,197.724280518,2,2026,keefamania,2026-09-02,
12527,Ashton Jeanty,RB,16.9,204.95625,211.4,2026-09-02,245.46735087000002,2026-09-03,231.58000000000004,2026-09-01,228.433675435,2,2026,keefamania,2026-09-02,
11564,Drake Maye,QB,47.2,323.74375,318.76,2026-09-02,328.715640704,2026-09-03,320.66200000000003,2026-09-01,323.737820352,2,2026,keefamania,2026-09-02,
7543,Travis Etienne Jr.,RB,42.6,198.15625,187.7,2026-09-02,223.193210336,2026-09-03,213.82,2026-09-01,205.44660516800002,2,2026,keefamania,2026-09-02,
11632,Malik Nabers,WR,31.0,178.60625,191.7,2026-09-02,200.44521964499998,2026-09-03,200.04,2026-09-01,196.0726098225,2,2026,keefamania,2026-09-02,
12481,Cam Skattebo,RB,42.6,197.625,180.2,2026-09-02,204.27959229800004,2026-09-03,212.54,2026-09-01,192.23979614900003,2,2026,keefamania,2026-09-02,
