sleeper_id,name,pos,adp,model,sleeper,sleeper_as_of,espn,espn_as_of,sheet,sheet_as_of,mean,mean_n_sources,pair,league,model_built,actual
4034,Christian McCaffrey,RB,6.6,374.2125,291.0,2026-09-02,340.431082638,2026-09-03,334.86,2026-09-01,315.71554131900007,2,2026,omnibeta,2026-09-02,
7564,Ja'Marr Chase,WR,3.9,331.92499999999995,309.1,2026-09-02,335.88306004900005,2026-09-03,335.73999999999995,2026-09-01,322.49153002450004,2,2026,omnibeta,2026-09-02,
9221,Jahmyr Gibbs,RB,1.5,337.45000000000005,329.40000000000003,2026-09-02,364.90967670599997,2026-09-03,372.9800000000001,2026-09-01,347.15483835300006,2,2026,omnibeta,2026-09-02,
9509,Bijan Robinson,RB,2.3,332.5625,322.90000000000003,2026-09-02,351.436936152,2026-09-03,356.77,2026-09-01,337.16846807600007,2,2026,omnibeta,2026-09-02,
9493,Puka Nacua,WR,3.0,310.99375,310.5,2026-09-02,353.243365733,2026-09-03,339.2,2026-09-01,331.8716828665,2,2026,omnibeta,2026-09-02,
9488,Jaxon Smith-Njigba,WR,5.5,297.39374999999995,282.6,2026-09-02,325.984669731,2026-09-03,326.1300000000001,2026-09-01,304.2923348655,2,2026,omnibeta,2026-09-02,
6813,Jonathan Taylor,RB,7.5,304.0875,270.3,2026-09-02,314.8545895,2026-09-03,310.4800000000001,2026-09-01,292.57729474999996,2,2026,omnibeta,2026-09-02,
7547,Amon-Ra St. Brown,WR,6.5,288.15,278.5,2026-09-02,323.93900264,2026-09-03,319.88,2026-09-01,301.21950132000006,2,2026,omnibeta,2026-09-02,
9226,De'Von Achane,RB,10.4,278.1625,257.4,2026-09-02,292.83422788,2026-09-03,292.76,2026-09-01,275.11711394,2,2026,omnibeta,2026-09-02,
6786,CeeDee Lamb,WR,10.6,256.38125,268.5,2026-09-02,292.976301553,2026-09-03,272.32,2026-09-01,280.7381507765,2,2026,omnibeta,2026-09-02,
6794,Justin Jefferson,WR,11.8,252.98125,250.4,2026-09-02,293.756041496,2026-09-03,270.64,2026-09-01,272.078020748,2,2026,omnibeta,2026-09-02,
9224,Chase Brown,RB,13.1,262.54375,255.2,2026-09-02,270.28439499,2026-09-03,278.49999999999994,2026-09-01,262.74219749499997,2,2026,omnibeta,2026-09-02,
