i,share_conc_targets,catch_conc,eff_sd_rec,share_conc_carries,eff_sd_rush,rec_crps,rec_width,rec_ratio,rec_pit,yds_crps,yds_width,yds_ratio,yds_pit,rush_crps,rush_width,rush_ratio,rush_pit,rec_score,rec_tie,rush_tie,rec_width_miss,rush_width_miss
0,,,0.0,,0.0,1.0491444827690448,0.2716142684401451,1.0057705066461835,0.49751312918504387,13.60151515291103,0.24123337363966144,1.0005020605939328,0.4957617201924933,16.502868059759397,0.312625250501002,0.999665118187313,0.4798292551651187,2.0,True,False,0.056423821039903246,0.11262525050100197
1,,,0.2,,0.15,1.049089102629988,0.2734280532043531,1.0053656776961606,0.4972708728885864,13.597937967943812,0.23579201934703747,1.0004039853269202,0.5005016633491497,16.43112283896245,0.29158316633266534,1.0001458161265557,0.48303516698876603,1.9996842149953948,True,False,0.05461003627569527,0.09158316633266533
2,,,0.4,,0.3,1.049089102629988,0.2734280532043531,1.0053656776961606,0.4972708728885864,13.676616433673587,0.22249093107617895,1.0004800871605712,0.5135610648001775,16.3452609073433,0.23947895791583165,1.000268532681992,0.4919329625799484,2.005468751853624,False,False,0.047959492140266013,0.03947895791583164
3,,30.0,0.0,,0.45,1.0479785946191051,0.2658706166868198,1.005831541798792,0.4990177732017986,13.58938924754051,0.23548972188633616,1.0007466560629334,0.49706822465883926,16.358133386392193,0.18537074148296592,1.0003603177827716,0.5061238443434755,1.9979972135232884,True,False,0.05068016928657798,0.014629258517034088
4,,30.0,0.2,40.0,0.0,1.0479921219770254,0.2626964933494559,1.0056984485965101,0.4991143987581996,13.591806499850797,0.2288391777509069,1.0008152568586532,0.5020396344316772,16.396522782896543,0.27955911823647295,0.9999028153209506,0.48695195764065224,1.9981878265678699,True,False,0.04576783555018138,0.07955911823647294
5,,30.0,0.4,40.0,0.15,1.0479921219770254,0.2626964933494559,1.0056984485965101,0.4991143987581996,13.678515349361945,0.21871221281741232,1.0008286720607675,0.5149016356408671,16.350166836703135,0.26402805611222446,0.999185492826139,0.4899659856967644,2.004562767045923,False,False,0.04070435308343409,0.06402805611222445
6,,10.0,0.0,40.0,0.3,1.046788238814994,0.24969770253929868,1.0058284679089362,0.5016984518693393,13.595608562457507,0.2270253929866989,1.0007373392398768,0.49982907672395915,16.297824716736386,0.21643286573146292,0.9992273794987171,0.4990110758771252,1.9973198685099578,True,True,0.038361547762998785,0.01643286573146291
7,,10.0,0.2,40.0,0.45,1.0468643997883917,0.24969770253929868,1.0057067898986245,0.5015619821620813,13.596689428171041,0.22158403869407498,1.00059613039011,0.5044478399029841,16.344793704263324,0.17384769539078157,0.9992381357660525,0.5128372281817345,1.9974719284847486,True,False,0.03564087061668682,0.02615230460921844
8,,10.0,0.4,20.0,0.0,1.0468643997883917,0.24969770253929868,1.0057067898986245,0.5015619821620813,13.692850683897746,0.2119105199516324,1.00060205716803,0.5173566972185827,16.33640825417402,0.25701402805611223,0.9990335962251192,0.4931328251190529,2.0045418214081208,False,False,0.030804111245465532,0.05701402805611222
9,40.0,,0.0,20.0,0.15,1.0456394935006046,0.2054111245465538,1.0058593723352378,0.5141391334079018,13.604201669986134,0.20057436517533253,1.0010331697914006,0.5118942793527045,16.302190964472974,0.2439879759519038,0.9994864006548922,0.4963617830348845,1.996856708980615,True,True,0.0029927448609431556,0.04398797595190379
10,40.0,,0.2,20.0,0.3,1.046121402509069,0.20435308343409916,1.0060471451890713,0.5142237571723494,13.633753154644895,0.1993651753325272,1.0008173348096974,0.5167243967844024,16.27798916213436,0.20440881763527055,0.9994943873781297,0.5053843281250648,1.9994887054286647,False,True,0.002493954050785979,0.00440881763527054
11,40.0,,0.4,20.0,0.45,1.046121402509069,0.20435308343409916,1.0060471451890713,0.5142237571723494,13.754361660966358,0.1884824667472793,1.0007283533040836,0.5292132117783566,16.35397109980406,0.16182364729458917,0.9994991431191936,0.5190696988665479,2.008355990063175,False,False,0.007935308343409928,0.03817635270541084
12,40.0,30.0,0.0,10.0,0.0,1.0463213103083433,0.19966747279322852,1.0060884426579533,0.5160486257647505,13.619380734122778,0.19800483675937122,1.0009438627114982,0.5135510850687232,16.292332576378612,0.22645290581162325,0.9991782317589362,0.5036896608835129,1.9986225711558094,False,True,0.0011638452237001384,0.02645290581162324
13,40.0,30.0,0.2,10.0,0.15,1.0463003204353085,0.1990628778718259,1.0058912668161106,0.5159073077754052,13.64959636018174,0.19392382103990327,1.0009683244736725,0.5181054130257524,16.287241062202195,0.2124248496993988,0.9990230456649406,0.5068249314245951,2.0008240542173685,False,True,0.003506650544135431,0.012424849699398777
14,40.0,30.0,0.4,10.0,0.3,1.0463003204353085,0.1990628778718259,1.0058912668161106,0.5159073077754052,13.772911859902932,0.18636638452237,1.000970432299413,0.5304143610305893,16.306475409809657,0.17585170340681364,0.9989508721682274,0.515510803168082,2.0098903603115685,False,True,0.007285368802902065,0.024148296593186375
15,40.0,10.0,0.0,10.0,0.45,1.0483290034764208,0.18833131801692865,1.005750035182971,0.5186986154652931,13.642077987203244,0.1912031438935913,1.0008424166471657,0.5161212757959898,16.433302472924918,0.1407815631262525,0.9988446001581789,0.5290859534686831,2.0022049488434805,False,False,0.010232769044740034,0.059218436873747504
16,40.0,10.0,0.2,,0.0,1.0479595613663846,0.18984280532043532,1.0058530595538577,0.5187409779149801,13.673047831226187,0.188180169286578,1.0013878191819028,0.5205739369524321,16.502868059759397,0.312625250501002,0.999665118187313,0.4798292551651187,2.0041297530450057,False,False,0.010988512696493355,0.11262525050100197
17,40.0,10.0,0.4,,0.15,1.0479595613663846,0.18984280532043532,1.0058530595538577,0.5187409779149801,13.805738987122377,0.18062273276904475,1.0014324058340587,0.5329232416682727,16.43112283896245,0.29158316633266534,1.0001458161265557,0.48303516698876603,2.013885368827839,False,False,0.014767230955259975,0.09158316633266533
18,20.0,,0.0,,0.3,1.0544866358827087,0.16928657799274485,1.0055449274974881,0.5277236399051121,13.697176840681976,0.17503022974607013,1.0006759120931437,0.5255464143043446,16.3452609073433,0.23947895791583165,1.000268532681992,0.4919329625799484,2.012125077728329,False,False,0.02784159613059252,0.03947895791583164
19,20.0,,0.2,,0.45,1.054790975967352,0.1673216444981862,1.0055934258818284,0.5276893407634055,13.726208590508241,0.17230955259975816,1.0007595340042275,0.5299584426146496,16.358133386392193,0.18537074148296592,1.0003603177827716,0.5061238443434755,2.0145496114739947,False,False,0.030184401451027826,0.014629258517034088
20,20.0,,0.4,40.0,0.0,1.054790975967352,0.1673216444981862,1.0055934258818284,0.5276893407634055,13.870782867498614,0.1682285368802902,1.0008528626809328,0.5419682672821224,16.396522782896543,0.27955911823647295,0.9999028153209506,0.48695195764065224,2.02517888882766,False,False,0.0322249093107618,0.07955911823647294
21,20.0,30.0,0.0,40.0,0.15,1.0560845843409916,0.16233373639661428,1.0054826655028504,0.5294833874833733,13.712726405532546,0.17094921402660218,1.0005921475770778,0.5271457953788582,16.350166836703135,0.26402805611222446,0.999185492826139,0.4899659856967644,2.014791397381142,False,False,0.03335852478839178,0.06402805611222445
22,20.0,30.0,0.2,40.0,0.3,1.0557839062877874,0.16384522370012092,1.0051840248656925,0.5294075941789063,13.74159613367875,0.16883313180169288,1.000540686810641,0.5312071269473093,16.297824716736386,0.21643286573146292,0.9992273794987171,0.4990110758771252,2.0166273414803326,False,True,0.033660822249093114,0.01643286573146291
23,20.0,30.0,0.4,40.0,0.45,1.0557839062877874,0.16384522370012092,1.0051840248656925,0.5294075941789063,13.888629374553162,0.16444981862152358,1.000700498974155,0.5431335175156285,16.344793704263324,0.17384769539078157,0.9992381357660525,0.5128372281817345,2.0274374048608776,False,False,0.03585247883917776,0.02615230460921844
24,20.0,10.0,0.0,20.0,0.0,1.0595832515114874,0.156136638452237,1.0053422614664436,0.5324945922490057,13.74550480208739,0.16626360338573157,1.0002281391237047,0.5296924932435089,16.33640825417402,0.25701402805611223,0.9990335962251192,0.4931328251190529,2.0205360861938906,False,False,0.03879987908101573,0.05701402805611222
25,20.0,10.0,0.2,20.0,0.15,1.0588563033555018,0.15598548972188633,1.0055155235153752,0.5325169584482027,13.774748020123731,0.16626360338573157,1.000703380031601,0.5341180313455971,16.302190964472974,0.2439879759519038,0.9994864006548922,0.4963617830348845,2.02199318715281,False,True,0.03887545344619106,0.04398797595190379
26,20.0,10.0,0.4,20.0,0.3,1.0588563033555018,0.15598548972188633,1.0055155235153752,0.5325169584482027,13.927759692077261,0.16203143893591293,1.000768206493176,0.5458148269925137,16.27798916213436,0.20440881763527055,0.9994943873781297,0.5053843281250648,2.0332427920853005,False,True,0.04099153567110038,0.00440881763527054
27,10.0,,0.0,20.0,0.45,1.0879922258162031,0.12182587666263603,1.0056713951937737,0.5501139662132991,13.949707747514418,0.14525392986698912,1.001031027325343,0.5474811894608449,16.35397109980406,0.16182364729458917,0.9994991431191936,0.5190696988665479,2.062627564809179,False,False,0.06646009673518743,0.03817635270541084
28,10.0,,0.2,10.0,0.0,1.0883043474909313,0.12333736396614269,1.0057640852127905,0.5501225625516182,13.993930464122569,0.1435912938331318,1.0007899052469418,0.5515121232425855,16.292332576378612,0.22645290581162325,0.9991782317589362,0.5036896608835129,2.0661763740606065,False,True,0.06653567110036276,0.02645290581162324
29,10.0,,0.4,10.0,0.15,1.0883043474909313,0.12333736396614269,1.0057640852127905,0.5501225625516182,14.167024619852054,0.14283555018137847,1.0010495414243317,0.5626795960358139,16.287241062202195,0.2124248496993988,0.9990230456649406,0.5068249314245951,2.078902467718815,False,True,0.06691354292623944,0.012424849699398777
30,10.0,30.0,0.0,10.0,0.3,1.0909493151451028,0.12046553808948005,1.0057171069636974,0.5518201256250306,13.97444722499457,0.1435912938331318,1.0007947985809273,0.5488665351232649,16.306475409809657,0.17585170340681364,0.9989508721682274,0.515510803168082,2.067265013460438,False,True,0.06797158403869409,0.024148296593186375
31,10.0,30.0,0.2,10.0,0.45,1.0906094360640872,0.12076783555018138,1.0058549808267592,0.5517900017720417,14.020969223454463,0.14344014510278114,1.0010344707431413,0.5529788456593342,16.433302472924918,0.1407815631262525,0.9988446001581789,0.5290859534686831,2.070361409268382,False,False,0.06789600967351875,0.059218436873747504
