i,share_conc_qb,eff_sd_qb,crps,width,ratio,tie,miss
0,,,8.836431107109252,0.1695095948827292,1.0487526944355565,False,0.030490405117270802
1,,0.0,8.798000043242212,0.18443496801705758,1.0496326997875405,True,0.015565031982942429
2,,0.15,8.80827554438996,0.18336886993603413,1.0491866594424244,False,0.016631130063965882
3,,0.3,8.836431107109252,0.1695095948827292,1.0487526944355565,False,0.030490405117270802
4,80.0,,8.76864490678125,0.1865671641791045,1.0515258898184865,True,0.013432835820895522
5,80.0,0.0,8.783652579336229,0.21961620469083157,1.0507555511522313,True,0.019616204690831557
6,80.0,0.15,8.774755766194849,0.208955223880597,1.0511403531411667,True,0.008955223880596996
7,80.0,0.3,8.76864490678125,0.1865671641791045,1.0515258898184865,True,0.013432835820895522
8,40.0,,8.802716458082996,0.18550106609808104,1.0509883015408694,False,0.014498933901918976
9,40.0,0.0,8.802204002338886,0.20362473347547974,1.0506601808313727,False,0.00362473347547973
10,40.0,0.15,8.798166227495118,0.19722814498933902,1.05086604443629,False,0.0027718550106609896
11,40.0,0.3,8.802716458082996,0.18550106609808104,1.0509883015408694,False,0.014498933901918976
12,20.0,,8.843077086952423,0.16631130063965885,1.048619797782853,False,0.03368869936034116
13,20.0,0.0,8.815762319173544,0.18336886993603413,1.0499134415059481,False,0.016631130063965882
14,20.0,0.15,8.820076515445379,0.18230277185501065,1.0492297912448034,False,0.017697228144989363
15,20.0,0.3,8.843077086952423,0.16631130063965885,1.048619797782853,False,0.03368869936034116
