i,rush_other_share,rush_norm_strength,rush_norm_qb,rush_crps,rush_width,rush_ratio,qbrush_crps,qbrush_width,qbrush_ratio,score,tie,miss
0,,0.0,False,16.25325732464027,0.2059118236472946,1.010897148998214,8.774755766194849,0.208955223880597,1.0511403531411667,2.0,False,0.03101875106969032
1,0.08,0.5,False,15.966470711832606,0.20090180360721444,0.9839335363218692,8.765530039410294,0.21002132196162046,1.0356331479299878,1.9813037358462733,True,0.025849805804059323
2,0.08,0.5,True,16.011327710562828,0.20090180360721444,0.9859763995696675,8.86180067714757,0.208955223880597,1.0021245250202109,1.995034931529153,False,0.008074062725271669
3,0.08,1.0,False,16.05897783285677,0.19939879759519039,0.954333441214188,8.762036942364343,0.21215351812366737,1.0331482910939338,1.9865972560516834,True,0.039407424939872926
4,0.08,1.0,True,15.966545802368984,0.19939879759519039,0.9640917237832514,9.274933549115609,0.22494669509594883,0.9491654117013135,2.039361653686314,False,0.04337143225771756
5,0.1,0.5,False,15.950982828694627,0.20090180360721444,0.9961062310451367,8.75679512594222,0.21002132196162046,1.0338087898967303,1.979355366916105,True,0.018851279425796785
6,0.1,0.5,True,15.981298847699769,0.1998997995991984,0.9970244783317905,8.872383306146576,0.21108742004264391,1.0126443752032592,1.9943934030256125,False,0.0078099484357343485
7,0.1,1.0,False,16.04896545492419,0.20140280561122245,0.9780765894548765,8.741837103631713,0.20788912579957355,1.0333381277788112,1.983679193203188,True,0.027630769161967328
8,0.1,1.0,True,15.977538504743396,0.2029058116232465,0.9844594544549631,9.23054036713301,0.22281449893390193,0.9716873369216188,2.0349787992161827,False,0.021926604311709064
9,0.12,0.5,False,15.965087537880425,0.1998997995991984,1.0073169898411154,8.763249744301865,0.21321961620469082,1.0325874092256389,1.9809587645844866,True,0.019952199533377124
10,0.12,0.5,True,15.990544061289434,0.19739478957915832,1.0069327227780762,8.8594990808328,0.21641791044776118,1.0252793888067282,1.9934938965727715,False,0.016106055792402207
11,0.12,1.0,False,16.03632686377657,0.20140280561122245,1.0033453322159558,8.759117371286285,0.21108742004264391,1.0343100598989252,1.9848709057021472,True,0.0188276960574405
12,0.12,1.0,True,15.951597195353354,0.20541082164328658,1.0068939845111777,9.226500890227108,0.22921108742004265,0.9947728683954101,2.0329223788176427,False,0.0060605580578838025
13,0.14,0.5,False,15.97074591802084,0.20040080160320642,1.0214547970173822,8.749891491569311,0.21002132196162046,1.032568699282877,1.9797845524334061,True,0.027011748150129633
14,0.14,0.5,True,16.000286816217635,0.19939879759519039,1.0185517304266705,8.861225484294014,0.20575692963752665,1.037789227430122,1.99429007717642,False,0.028170478928396192
15,0.14,1.0,False,16.04820831085909,0.2029058116232465,1.030388462984065,8.752576878987478,0.2046908315565032,1.0332625472048425,1.984856549149351,True,0.0318255050944537
16,0.14,1.0,True,15.969250258692488,0.19839679358717435,1.0299090467368315,9.214048553446444,0.2345415778251599,1.0180410971741507,2.0325893942459414,False,0.02397507195549109
