player,sleeper_id,pos,team,bye,proj_pts,vorp,vorp_flex,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy,upside_flag,upside_why,alpha_used,proj_model_pts,proj_market_pts,proj_consensus_pts,market_source_used,role_share,backs_up_pos,starter_fragility,starter_fragility_label
Christian McCaffrey,4034,RB,SFO,8,352.2,218.4,204.0286296124985,1,true,1,1,9.24,6.6,5.6,blend,compromised,12.0,false,,,,0.405,0.234,1.68,50,true,true,RB receiving profile,0.65,386.5710999311556,288.4371136813612,273.88,ecr_curve,1.0,,,""
Jahmyr Gibbs,9221,RB,DET,6,317.6,183.8,169.3791224892782,2,false,2,2,2.48,1.5,-0.5,blend,,15.3,false,,,,0.253,0.215,1.41,26,true,true,RB receiving profile,0.65,291.82354735516515,365.3982623989997,310.02,ecr_curve,1.0,,,""
Bijan Robinson,9509,RB,ATL,11,313.0,179.1,164.75754409440447,2,true,3,3,4.1,2.3,-0.7,blend,,16.0,false,,,,0.311,0.212,1.69,22,true,true,RB receiving profile,0.65,300.5528858292603,335.9821241046124,303.91,ecr_curve,1.0,,,""
Puka Nacua,9493,WR,LAR,11,290.2,159.4,141.99422615408287,1,false,1,4,3.19,3.0,-1.0,blend,compromised,13.7,false,,,,0.675,0.386,3.99,11,true,false,,0.65,288.2095843281569,293.86734706288553,292.24,ecr_curve,1.0,,,""
Jaxon Smith-Njigba,9488,WR,SEA,11,286.0,155.2,137.7796083599418,1,false,2,5,4.67,5.5,0.5,blend,,16.0,false,,,,0.904,0.377,4.15,7,true,false,,0.65,290.6805633169656,277.23662095755213,265.98,ecr_curve,1.0,,,""
Ja'Marr Chase,7564,WR,CIN,6,283.3,152.5,135.14469902778563,1,false,3,6,1.55,3.9,-2.1,blend,compromised,15.3,false,,,,0.737,0.285,2.17,8,true,false,,0.65,260.71364520060314,325.3611565103504,290.92,ecr_curve,1.0,,,""
Jonathan Taylor,6813,RB,IND,13,286.2,152.4,137.994432530756,3,true,4,7,11.93,7.5,0.5,blend,,12.7,false,,,,0.157,0.104,0.72,42,true,false,,0.65,293.0305155740926,273.48620725378544,254.4,ecr_curve,1.0,,,""
Amon-Ra St. Brown,7547,WR,DET,6,272.3,141.5,124.06153054662815,2,true,4,8,5.42,6.5,-1.5,blend,,15.7,false,,,,0.746,0.309,2.51,21,true,false,,0.65,273.07516165356725,270.73785886582436,262.12,ecr_curve,1.0,,,""
De'Von Achane,9226,RB,MIA,6,261.8,127.9,113.57522458353304,4,true,5,9,20.99,10.4,1.4,blend,,13.7,false,,,,0.289,0.216,1.24,16,true,true,RB receiving profile,0.65,273.2636343869067,240.42696389506503,242.26,ecr_curve,1.0,,,""
Chase Brown,9224,RB,CIN,6,247.1,113.3,98.94462422928109,5,false,6,10,17.86,13.1,3.1,blend,,13.3,false,,,,0.224,0.181,0.9,26,true,true,RB receiving profile,0.65,245.66718911034502,249.87578982510257,240.19,ecr_curve,1.0,,,""
James Cook III,8138,RB,BUF,7,242.2,108.4,94.05166767033,5,true,7,11,15.97,12.6,1.6,blend,,15.7,false,,,,0.127,0.112,0.82,27,true,false,,0.65,234.61545597941483,256.4205611855412,243.58,ecr_curve,1.0,,,""
Drake London,8112,WR,ATL,11,235.6,104.8,87.37330640278114,3,false,5,12,12.91,11.0,-1.0,blend,,14.0,false,,,,0.727,0.279,2.29,9,true,false,,0.65,237.0235771875954,232.86730389163773,233.6,ecr_curve,1.0,,,""
Trey McBride,8130,TE,ARI,14,248.0,99.8,99.77987125737127,1,true,1,13,21.0,29.1,16.1,blend,,15.7,false,,,,0.59,0.235,1.72,12,true,false,,0.65,253.36868956533894,237.9594233460858,219.2,ecr_curve,1.0,,,""
Rashee Rice,10229,WR,KCC,5,229.0,98.2,80.83560277372573,3,false,6,14,24.68,15.3,1.3,blend,,12.0,false,,,,0.531,0.286,2.09,18,true,false,,0.55,249.02636141893822,204.59262027675285,213.93,ecr_curve,1.0,,,""
Chris Olave,8144,WR,NOS,8,227.5,96.7,79.30300207020937,3,false,7,15,17.99,19.0,4.0,blend,,12.3,false,,,,0.725,0.279,2.08,4,true,false,,0.65,232.4038346204506,218.388813423273,220.14,ecr_curve,1.0,,,""
CeeDee Lamb,6786,WR,DAL,14,224.7,93.9,76.52380241636783,3,false,8,16,9.0,10.6,-5.4,blend,,14.0,false,,,,0.611,0.258,2.37,7,true,false,,0.65,211.85540565561305,248.60961106128116,252.71,ecr_curve,1.0,,,""
Saquon Barkley,4866,RB,PHI,10,227.1,93.3,78.92478976353041,6,false,8,17,24.35,19.1,2.1,blend,,14.3,false,,,,0.176,0.112,0.61,29,true,false,,0.65,224.63361108012282,231.7386219790847,230.31,ecr_curve,1.0,,,""
