player,sleeper_id,pos,team,bye,proj_pts,vorp,vorp_flex,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy,upside_flag,upside_why,alpha_used,proj_as_of,n_sources,proj_sd,proj_hi,proj_lo,proj_band,non_starter,contingent_of,backs_up_pos,starter_fragility,starter_fragility_label,yahoo_rank,proj_td
Jahmyr Gibbs,9221,RB,DET,6,291.4,133.2,133.2375721372549,1,true,1,1,2.43,1.3,0.3,fantasypros_sheet_headline,,15.3,false,,,,0.253,0.215,1.41,26,true,true,RB receiving profile,0.0,2026-09-04,1,0.0,313.0,269.8,17.7,false,,,,"",1.0,18.2
Bijan Robinson,9509,RB,ATL,11,270.3,112.2,112.22546952941181,2,true,2,2,4.19,2.0,0.0,fantasypros_sheet_headline,,16.0,false,,,,0.311,0.212,1.69,22,true,true,RB receiving profile,0.0,2026-09-04,1,0.0,278.4,260.9,7.1,false,,,,"",2.0,12.3
Puka Nacua,9493,WR,LAR,11,248.4,104.6,90.31762915686272,1,false,1,3,3.43,5.0,2.0,fantasypros_sheet_headline,compromised,13.7,false,,,,0.675,0.386,3.99,11,true,false,,0.0,2026-09-04,1,0.0,252.3,246.8,2.3,false,,,,"",4.0,10.3
Ja'Marr Chase,7564,WR,CIN,6,246.8,103.0,88.67633181372551,1,false,2,4,1.49,3.5,-0.5,fantasypros_sheet_headline,compromised,15.3,false,,,,0.737,0.285,2.17,8,true,false,,0.0,2026-09-04,1,0.0,256.6,237.3,7.9,false,,,,"",3.0,10.6
Jaxon Smith-Njigba,9488,WR,SEA,11,240.1,96.2,81.9497287941177,1,false,3,5,4.61,7.2,2.2,fantasypros_sheet_headline,,16.0,false,,,,0.904,0.377,4.15,7,true,false,,0.0,2026-09-04,1,0.0,260.9,224.3,15.0,false,,,,"",8.0,9.6
Jonathan Taylor,6813,RB,IND,13,249.2,91.1,91.0765399607844,3,false,3,6,11.82,6.3,0.3,fantasypros_sheet_headline,,12.7,false,,,,0.157,0.104,0.72,42,true,false,,0.0,2026-09-04,1,0.0,275.8,228.0,19.6,false,,,,"",5.0,14.4
Christian McCaffrey,4034,RB,SFO,8,248.9,90.8,90.78179968627461,3,true,4,7,9.58,5.9,-1.1,fantasypros_sheet_headline,,12.0,false,,,,0.405,0.234,1.68,50,true,true,RB receiving profile,0.0,2026-09-04,1,0.0,260.6,232.1,11.7,false,,,,"",6.0,13.3
Amon-Ra St. Brown,7547,WR,DET,6,230.2,86.4,72.12899752941183,2,true,4,8,5.4,7.9,-0.1,fantasypros_sheet_headline,,15.7,false,,,,0.746,0.309,2.51,21,true,false,,0.0,2026-09-04,1,0.0,238.1,223.6,5.9,false,,,,"",7.0,10.5
James Cook III,8138,RB,BUF,7,218.4,60.3,60.31998856862748,4,false,5,9,14.97,9.4,0.4,fantasypros_sheet_headline,,15.7,false,,,,0.127,0.112,0.82,27,true,false,,0.0,2026-09-04,1,0.0,228.9,205.2,9.7,false,,,,"",9.0,12.2
De'Von Achane,9226,RB,MIA,6,218.1,60.0,60.02737588235297,4,false,6,10,21.49,15.2,5.2,fantasypros_sheet_headline,,13.7,false,,,,0.289,0.216,1.24,16,true,true,RB receiving profile,0.0,2026-09-04,1,0.0,252.0,191.3,24.8,false,,,,"",17.0,10.0
Josh Allen,4984,QB,BUF,7,325.0,58.1,58.06430272941179,1,true,1,11,25.77,20.6,9.6,fantasypros_sheet_headline,,15.3,false,,,,0.0,0.0,0.0,22,true,false,,0.0,2026-09-04,1,0.0,348.0,304.6,17.7,false,,,,"",35.0,39.0
Derrick Henry,3198,RB,BAL,13,215.6,57.5,57.477904176470645,4,false,7,12,37.64,17.2,5.2,fantasypros_sheet_headline,,16.0,false,,,,0.075,0.072,0.51,40,true,false,,0.0,2026-09-04,1,0.0,236.7,195.6,16.8,false,,,,"",15.0,14.1
Trey McBride,8130,TE,ARI,14,175.7,56.0,17.565020549019636,1,false,1,13,18.5,27.1,14.1,fantasypros_sheet_headline,,15.7,false,,,,0.59,0.235,1.72,12,true,false,,0.0,2026-09-04,1,0.0,190.7,161.2,12.1,false,,,,"",34.0,6.8
Chase Brown,9224,RB,CIN,6,213.4,55.3,55.31627490196081,4,false,8,14,17.05,15.7,1.7,fantasypros_sheet_headline,,13.3,false,,,,0.224,0.181,0.9,26,true,true,RB receiving profile,0.0,2026-09-04,1,0.0,235.8,192.6,17.6,false,,,,"",14.0,11.7
Brock Bowers,11604,TE,LVR,13,174.6,55.0,16.530165333333343,1,true,2,15,21.2,21.0,6.0,fantasypros_sheet_headline,,13.5,false,,,,0.526,0.223,1.76,10,true,false,,0.0,2026-09-04,1,0.0,187.7,161.9,10.5,false,,,,"",19.0,8.0
Justin Jefferson,6794,WR,MIN,6,195.9,52.0,37.737029745098056,3,false,5,16,9.17,13.2,-2.8,fantasypros_sheet_headline,,13.7,false,,,,0.741,0.246,1.83,11,true,false,,0.0,2026-09-04,1,0.0,209.7,187.2,9.3,false,,,,"",13.0,7.1
Saquon Barkley,4866,RB,PHI,10,210.1,52.0,52.00176394117648,4,false,9,17,23.6,11.3,-5.7,fantasypros_sheet_headline,,14.3,false,,,,0.176,0.112,0.61,29,true,false,,0.0,2026-09-04,1,0.0,225.8,195.5,12.4,false,,,,"",10.0,10.3
CeeDee Lamb,6786,WR,DAL,14,195.0,51.2,36.9286989901961,3,false,6,18,9.03,11.0,-7.0,fantasypros_sheet_headline,,14.0,false,,,,0.611,0.258,2.37,7,true,false,,0.0,2026-09-04,1,0.0,212.8,170.7,17.2,false,,,,"",12.0,7.5
Drake London,8112,WR,ATL,11,190.4,46.5,32.26240554901966,3,false,7,19,13.17,20.1,1.1,fantasypros_sheet_headline,,14.0,false,,,,0.727,0.279,2.29,9,true,false,,0.0,2026-09-04,1,0.0,200.6,181.4,7.9,false,,,,"",20.0,8.0
A.J. Brown,5859,WR,NEP,11,188.5,44.6,30.338253000000066,3,false,8,20,13.73,24.0,4.0,fantasypros_sheet_headline,,14.0,false,,,,0.678,0.248,2.06,5,true,false,,0.0,2026-09-04,1,0.0,205.8,176.4,12.1,false,,,,"",23.0,7.7
Kenneth Walker III,8151,RB,KCC,5,201.9,43.8,43.78223396078437,4,false,10,21,24.95,15.4,-5.6,fantasypros_sheet_headline,compromised,13.3,false,,,,0.109,0.139,1.09,11,true,false,,0.0,2026-09-04,1,0.0,213.4,185.2,11.6,false,,,,"",11.0,9.9
Chris Olave,8144,WR,NOS,8,184.3,40.5,26.219321941176503,3,false,9,22,17.37,31.3,9.3,fantasypros_sheet_headline,,12.3,false,,,,0.725,0.279,2.08,4,true,false,,0.0,2026-09-04,1,0.0,204.8,169.6,14.4,false,,,,"",24.0,8.2
George Pickens,8137,WR,DAL,14,183.7,39.8,25.55229321568629,3,false,10,23,20.43,22.5,-0.5,fantasypros_sheet_headline,,15.0,false,,,,0.563,0.228,2.38,11,true,false,,0.0,2026-09-04,1,0.0,213.4,163.2,20.6,false,,CeeDee Lamb,0.32,low,22.0,8.4
